The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'dependency', 'class'): (reverse, can reverse, list)""]"
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.","[""('class', 'containment', 'method'): (list, contains, tostring)""]"
Here is an example of iterating the elements of an Iterable via its forEach() method:,"[""('method', 'dependency', 'class'): (foreach, relies on, iterable)"", ""('method', 'implementation', 'class'): (foreach, iterates over, iterable)""]"
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.",[]
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",[]
The first three add() calls add a String instance to the end of the list.,"[""('class', 'containment', 'class'): (list, contains, string)"", ""('method', 'dependency', 'class'): (add, relies on, list)"", ""('class', 'containment', 'class'): (list, contains, string)""]"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.","[""('method', 'dependency', 'interface'): (addall, takes as parameter, collection)"", ""('method', 'dependency', 'class'): (addall, takes as parameter, list)"", ""('method', 'dependency', 'class'): (addall, takes as parameter, set)"", ""('method', 'dependency', 'class'): (addall, takes as parameter, java set)"", ""('interface', 'containment', 'class'): (collection, can contain, list)"", ""('interface', 'containment', 'class'): (collection, can contain, set)"", ""('interface', 'containment', 'class'): (collection, can contain, java set)"", ""('class', 'similarity', 'class'): (list, is similar to, set)"", ""('class', 'similarity', 'class'): (list, is similar to, java set)"", ""('class', 'similarity', 'class'): (set, is similar to, java set)""]"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","[""('class', 'conversion', 'class'): (object, cast to, string)"", ""('method', 'dependency', 'class'): (get, returns, string)""]"
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","[""('class', 'dependency', 'method'): (map, calls the getordefault() method, getordefault)"", ""('class', 'implementation', 'method'): (map, stores values using and then calls, getordefault)""]"
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"[""('class', 'dependency', 'method'): (map, does not contain any object stored by the key e, getordefault)"", ""('method', 'dependency', 'class'): (getordefault, returns the given default value, string)"", ""('class', 'containment', 'class'): (map, does not contain, string)""]"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).","[""('class', 'dependency', 'class'): (iterator, returns every key stored in, map)"", ""('class', 'implementation', 'class'): (iterator, uses to retrieve keys from, map)"", ""('class', 'dependency', 'method'): (map, relies on iterator for key retrieval with, next)""]"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"[""('method', 'dependency', 'class'): (size(), size, map)""]"
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"[""('method', 'dependency', 'class'): (isempty(), returns false if contains, map)"", ""('class', 'dependency', 'method'): (map, relies on, isempty())""]"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"[""('class', 'implementation', 'interface'): (treemap, implements, navigablemap)""]"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.","[""('class', 'containment', 'class'): (navigablemap, contains, sortedmap)"", ""('method', 'dependency', 'class'): (tailmap, references, sortedmap)"", ""('class', 'dependency', 'class'): (sortedmap, is referenced by, navigablemap)"", ""('class', 'creation', 'class'): (navigablemap, creates, sortedmap)""]"
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"[""('interface', 'dependency', 'method'): (navigablemap, has_method, lowerentry)"", ""('method', 'implementation', 'interface'): (lowerentry, is_part_of, navigablemap)""]"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.","[""('method', 'dependency', 'class'): (pollfirstentry, returns and removes entry from, navigablemap)"", ""('class', 'dependency', 'method'): (navigablemap, has entry returned and removed by, pollfirstentry)""]"
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","[""('method', 'dependency', 'class'): (descendingiterator, allows iteration on, navigableset)"", ""('method', 'dependency', 'class'): (descendingiterator, allows iteration on, sortedset)"", ""('class', 'similarity', 'class'): (navigableset, is also a type of, sortedset)""]"
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","[""('method', 'dependency', 'class'): (getproperty, relies on to retrieve, properties)"", ""('class', 'dependency', 'method'): (properties, is relied on by, getproperty)""]"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","[""('class', 'dependency', 'class'): (inputstream, can load into, properties)"", ""('class', 'dependency', 'method'): (inputstream, can be used with, load)"", ""('class', 'dependency', 'method'): (inputstream, can be used with, loadfromxml)"", ""('class', 'dependency', 'method'): (properties, can be loaded by, load)"", ""('class', 'dependency', 'method'): (properties, can be loaded by, loadfromxml)"", ""('method', 'difference', 'method'): (load, is different from, loadfromxml)""]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"[""('method', 'dependency', 'method'): (poll, used in conjunction with, remove)"", ""('class', 'containment', 'method'): (queue, uses, poll)"", ""('class', 'containment', 'method'): (queue, uses, remove)"", ""('method', 'similarity', 'method'): (poll, compared to, remove)""]"
You can check if a Java Queue contains a certain element via its contains() method.,[]
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"[""('interface', 'dependency', 'method'): (set, has method, removeall)"", ""('method', 'dependency', 'interface'): (removeall, takes elements from, collection)"", ""('interface', 'dependency', 'interface'): (set, uses, collection)""]"
You can check the size of a Java Set using the size() method.,"[""('method', 'dependency', 'class'): (size, is obtained from, set)"", ""('class', 'dependency', 'method'): (set, has size, size)""]"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",[]
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"[""('class', 'containment', 'class'): (sortedmap, contains, map)"", ""('class', 'creation', 'class'): (sortedmap, creates, map)"", ""('class', 'dependency', 'class'): (map, depends on, sortedmap)"", ""('class', 'containment', 'method'): (sortedmap, contains, headmap)"", ""('method', 'creation', 'class'): (headmap, creates, map)""]"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"[""('class', 'containment', 'method'): (sortedmap, obtains, submap)"", ""('method', 'creation', 'class'): (submap, created from, sortedmap)""]"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"[""('class', 'implementation', 'interface'): (java.util.treeset, is the implementation of, java sortedset)""]"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","[""('class', 'dependency', 'class'): (vector, uses, enumeration)"", ""('class', 'dependency', 'interface'): (vector, uses, iterator)""]"
You push elements onto a Java Stack using its push() method.,[]
Here is an example of obtaining the size of a Java Stack via its size() method:,"[""('method', 'dependency', 'class'): (size, obtained from, stack)"", ""('class', 'dependency', 'method'): (stack, has, size())"", ""('class', 'implementation', 'method'): (stack, uses, size())""]"
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"[""('method', 'dependency', 'class'): (lockwrite, is a method of, readwritelock)"", ""('method', 'implementation', 'class'): (lockwrite, is an example of a test-and-set method in, readwritelock)""]"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"[""('class', 'containment', 'method'): (boundedsemaphore, has methods, take)"", ""('class', 'containment', 'method'): (boundedsemaphore, has methods, release)"", ""('method', 'dependency', 'method'): (release, is paired with, take)""]"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"[""('class', 'implementation', 'method'): (atomicboolean, is used to implement, lock)""]"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.",[]
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","[""('method', 'dependency', 'method'): (parent.addchild, can cause deadlock with, child.setparent)"", ""('method', 'dependency', 'method'): (child.setparent, can cause deadlock with, parent.addchild)"", ""('method', 'implementation', 'method'): (parent.addchild, calls at the same time as, child.setparent)"", ""('method', 'implementation', 'method'): (child.setparent, calls at the same time as, parent.addchild)""]"
"Here are the two classes used in the example above, Counter and CounterThread.","[""('class', 'implementation', 'class'): (counter, used in the example above with, counterthread)"", ""('class', 'dependency', 'class'): (counterthread, relies on, counter)""]"
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.","[""('class', 'containment', 'class'): (threadlocal, is a subclass of, threadlocal)""]"
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","[""('class', 'dependency', 'class'): (threadlocal, relies on, supplier)"", ""('class', 'implementation', 'class'): (threadlocal, uses, supplier)"", ""('class', 'dependency', 'method'): (threadlocal, depends on, threadlocal.withinitial)"", ""('class', 'implementation', 'method'): (supplier, implements, threadlocal.withinitial)"", ""('class', 'dependency', 'method'): (supplier, relies on, threadlocal.withinitial)""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"[""('method', 'dependency', 'method'): (format, calls, getthreadlocalsimpledateformat)"", ""('method', 'dependency', 'class'): (format, uses, simpledatformat)"", ""('method', 'dependency', 'class'): (getthreadlocalsimpledateformat, returns, simpledatformat)""]"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:","[""('class', 'replacement', 'class'): (counter, could have been written using, lock)"", ""('class', 'implementation', 'class'): (counter, written with, lock)""]"
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","[""('method', 'dependency', 'method'): (lock, is waiting in, wait)"", ""('method', 'dependency', 'method'): (wait, is used when, lock)""]"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","[""('method', 'dependency', 'method'): (lock, relies on for critical section execution, unlock)"", ""('method', 'dependency', 'method'): (unlock, is called after, lock)""]"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.","[""('method', 'dependency', 'method'): (unlock, is used to release, lock)"", ""('method', 'dependency', 'method'): (lock, requires, unlock)""]"
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","[""('method', 'dependency', 'method'): (wait, should not be called together, notify)"", ""('method', 'dependency', 'method'): (notify, should not be called together, wait)""]"
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"[""('method', 'dependency', 'method'): (synchronized, is used in, inc)"", ""('method', 'dependency', 'method'): (synchronized, is used in, count)"", ""('method', 'implementation', 'method'): (inc, is part of, synchronized)"", ""('method', 'implementation', 'method'): (count, is part of, synchronized)"", ""('method', 'similarity', 'method'): (inc, has similar synchronization as, count)""]"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","[""('class', 'dependency', 'class'): (atomicboolean, is_used_by, atomicstampedreference)"", ""('class', 'containment', 'class'): (atomicstampedreference, contains, atomicboolean)""]"
Here is how the lockRead() and unlockRead() methods looks after that change:,"[""('method', 'dependency', 'method'): (lockread, looks after that change with, unlockread)"", ""('method', 'implementation', 'method'): (lockread, interacts through messaging with, unlockread)""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"[""('method', 'dependency', 'method'): (unlockwrite, is relied upon by, lockwrite)""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.",[]
The take() method sends a signal which is stored internally in the Semaphore.,"[""('method', 'dependency', 'class'): (take, sends a signal to, semaphore)"", ""('method', 'implementation', 'class'): (take, sends a signal which is stored internally in, semaphore)""]"
"That way the signal is not missed, even if doNotify() is called before doWait().","[""('method', 'dependency', 'method'): (dowait, is called after, donotify)"", ""('method', 'dependency', 'method'): (donotify, is called before, dowait)""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","[""('class', 'dependency', 'class'): (synchronizer, relies on, lock)"", ""('class', 'implementation', 'class'): (lock, is part of, synchronizer)"", ""('class', 'containment', 'class'): (synchronizer, contains, lock)""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","[""('method', 'implementation', 'method'): (unlock, calls, donotify)"", ""('method', 'implementation', 'class'): (unlock, uses, queueobject)"", ""('method', 'dependency', 'class'): (donotify, relies on, queueobject)""]"
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","[""('method', 'dependency', 'method'): (queueobject.dowait, relies on, unlock)"", ""('method', 'dependency', 'method'): (queueobject.dowait, avoids, synchronized)"", ""('method', 'dependency', 'method'): (queueobject.dowait, waits for, lock)"", ""('method', 'dependency', 'method'): (unlock, is called when, synchronized)"", ""('method', 'dependency', 'method'): (unlock, is called when, lock)""]"
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:","[""('class', 'implementation', 'interface'): (poolthreadrunnable, implements, runnable)"", ""('class', 'dependency', 'class'): (poolthreadrunnable, can be executed by, thread)""]"
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","[""('method', 'creation', 'class'): (add, returns a new instance of, immutablevalue)"", ""('class', 'dependency', 'method'): (immutablevalue, is returned by, add)""]"
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","[""('class', 'containment', 'method'): (java.lang.object, defines, wait)"", ""('class', 'containment', 'method'): (java.lang.object, defines, notify)"", ""('class', 'containment', 'method'): (java.lang.object, defines, notifyall)"", ""('method', 'dependency', 'method'): (wait, is used with, notify)"", ""('method', 'dependency', 'method'): (wait, is used with, notifyall)"", ""('method', 'dependency', 'method'): (notify, is used with, wait)"", ""('method', 'dependency', 'method'): (notify, is used with, notifyall)"", ""('method', 'dependency', 'method'): (notifyall, is used with, wait)"", ""('method', 'dependency', 'method'): (notifyall, is used with, notify)""]"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","[""('method', 'dependency', 'method'): (wait, must be called from inside a synchronized block where notify is called, notify)"", ""('method', 'dependency', 'method'): (notify, must be called from inside a synchronized block where wait is called, wait)""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"[""('method', 'dependency', 'method'): (notify(), have similar behavior to, notifyall())"", ""('method', 'similarity', 'method'): (notify(), have similar function as, notifyall())"", ""('method', 'implementation', 'method'): (notify(), interact through messaging with, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","[""('method', 'dependency', 'method'): (donotify(), calls, notify())"", ""('method', 'difference', 'method'): (notify(), differs from, notifyall())"", ""('method', 'difference', 'method'): (notify(), differs from, notifyall())"", ""('method', 'dependency', 'method'): (donotify(), calls, notifyall())""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","[""('method', 'dependency', 'class'): (compareandset, allows modification of, atomicboolean)"", ""('method', 'implementation', 'class'): (compareandset, is used with, atomicboolean)""]"
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'containment', 'method'): (atomicinteger, contains, compareandset)"", ""('class', 'dependency', 'method'): (atomicinteger, relies on, compareandset)""]"
You can get the value of an AtomicInteger instance via the get() method.,[]
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"[""('method', 'implementation', 'class'): (addandget, is_implemented_through, atomicintegerarray)""]"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,[]
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'implementation', 'method'): (atomiclong, provides, compareandset)""]"
You can set the value of an AtomicLong instance via the set() method.,"[""('class', 'dependency', 'method'): (atomiclong, can be set via, set)"", ""('class', 'implementation', 'method'): (atomiclong, set value using, set)""]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,[]
You can get the value of a given element using the get() method on the AtomicLongArray.,"[""('class', 'dependency', 'method'): (atomiclongarray, has method, get)""]"
You can set the value of a given element using the set() method on the AtomicLongArray.,"[""('method', 'dependency', 'class'): (set, used on, atomiclongarray)"", ""('method', 'implementation', 'class'): (set, called on, atomiclongarray)""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","[""('class', 'dependency', 'method'): (atomicreference, has, compareandset)"", ""('class', 'containment', 'method'): (atomicreference, contains, compareandset)""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,[]
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","[""('method', 'dependency', 'class'): (compareandset, relies on, atomicreference)"", ""('method', 'implementation', 'class'): (compareandset, interacts with, atomicreference)""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"[""('class', 'dependency', 'method'): (atomicstampedreference, returns a reference to the type declared on, getreference)"", ""('method', 'dependency', 'class'): (getreference, returns a reference to the type declared on, atomicstampedreference)""]"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"[""('class', 'containment', 'method'): (atomicstampedreference, contains, getstamp)"", ""('method', 'dependency', 'class'): (getstamp, is_part_of, atomicstampedreference)""]"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","[""('method', 'dependency', 'class'): (compareandset, relies on, atomicstampedreference)"", ""('method', 'implementation', 'class'): (compareandset, interacts with, atomicstampedreference)""]"
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",[]
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","[""('class', 'dependency', 'interface'): (concurrentmap, relies on methods from, java.util.map)""]"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.","[""('class', 'dependency', 'class'): (java.util.concurrent.concurrentnavigablemap, is a type of, java.util.navigablemap)"", ""('class', 'containment', 'class'): (java.util.concurrent.concurrentnavigablemap, has, java.util.navigablemap)"", ""('class', 'implementation', 'class'): (java.util.concurrent.concurrentnavigablemap, implements, java.util.navigablemap)""]"
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.",[]
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"[""('class', 'dependency', 'method'): (blockingqueue, uses, add)"", ""('method', 'dependency', 'class'): (add, is used by, blockingqueue)""]"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","[""('class', 'dependency', 'class'): (blockingqueue, throws, illegalstateexception)"", ""('method', 'dependency', 'class'): (add, throws, illegalstateexception)"", ""('class', 'containment', 'method'): (blockingqueue, has, add)""]"
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"[""('method', 'dependency', 'class'): (remove, uses, blockingqueue)"", ""('method', 'implementation', 'class'): (remove, interacts with, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","[""('class', 'dependency', 'class'): (blockingqueue, throws, nosuchelementexception)"", ""('method', 'dependency', 'class'): (element, is thrown by, blockingqueue)"", ""('class', 'containment', 'method'): (blockingqueue, does not contain, element)""]"
The result of that is that the call() method will return a String.,"[""('method', 'dependency', 'class'): (call, will return, string)""]"
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",[]
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","[""('class', 'dependency', 'class'): (executorservice, takes, runnable)"", ""('class', 'dependency', 'class'): (executorservice, executes, runnable)"", ""('class', 'implementation', 'class'): (executorservice, execute, runnable)"", ""('class', 'dependency', 'class'): (runnable, is executed by, executorservice)"", ""('class', 'implementation', 'class'): (runnable, execute, executorservice)"", ""('method', 'dependency', 'class'): (execute, is method of, executorservice)""]"
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.","[""('method', 'dependency', 'class'): (invokeany, takes, callable)""]"
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"[""('method', 'dependency', 'class'): (invokeall, invokes, callable)"", ""('method', 'implementation', 'class'): (invokeall, interacts with, callable)""]"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"[""('method', 'difference', 'method'): (run(), has different return type, call())"", ""('method', 'difference', 'method'): (run(), differs in return value, call())"", ""('method', 'dependency', 'class'): (run(), is part of, runnable)"", ""('method', 'dependency', 'interface'): (call(), is part of, callable)"", ""('method', 'difference', 'method'): (call(), differs from, run())""]"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.","[""('class', 'dependency', 'method'): (executorservice, relies on, awaittermination)"", ""('method', 'interrupt', 'class'): (awaittermination, interrupts, executorservice)""]"
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"[""('method', 'dependency', 'method'): (awaittermination, is typically called after, shutdown)"", ""('method', 'dependency', 'method'): (awaittermination, is typically called after, shutdownnow)"", ""('method', 'difference', 'method'): (shutdown, is different from, shutdownnow)""]"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"[""('class', 'implementation', 'class'): (reentrantlock, used as, lock)"", ""('class', 'dependency', 'class'): (lock, relies on, reentrantlock)""]"
To unlock the Lock instance you must call its unlock() method.,[]
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.","[""('class', 'dependency', 'class'): (counter, protects their internal count using, lock)"", ""('class', 'implementation', 'class'): (lock, protects the internal count of, counter)""]"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","[""('method', 'dependency', 'method'): (calculate, relies on, add)"", ""('method', 'dependency', 'method'): (calculate, relies on, subtract)"", ""('method', 'dependency', 'class'): (calculate, locks, lock)"", ""('method', 'dependency', 'class'): (add, relies on, lock)"", ""('method', 'dependency', 'class'): (subtract, relies on, lock)"", ""('method', 'implementation', 'method'): (calculate, calls, add)"", ""('method', 'implementation', 'method'): (calculate, calls, subtract)""]"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","[""('class', 'dependency', 'class'): (lock, is blocked until the lock is unlocked by, lock)""]"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"[""('class', 'dependency', 'class'): (reentrantlock, returns the number of times a given thread has locked, lock)"", ""('class', 'dependency', 'class'): (reentrantlock, locked by a thread, lock)"", ""('class', 'implementation', 'method'): (reentrantlock, locked through, getholdcount)"", ""('method', 'dependency', 'class'): (getholdcount, returns a value based on, lock)""]"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",[]
The CertPath getType() method returns a string telling what type of certificates (e.g.,"[""('method', 'implementation', 'class'): (gettype, returns a string telling what type of certificates, certpath)"", ""('class', 'containment', 'method'): (certpath, has a method called, gettype)""]"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"[""('method', 'dependency', 'method'): (update, has a version of, dofinal)"", ""('method', 'dependency', 'method'): (dofinal, has a version of, update)""]"
Notice the call to update() and then doFinal() for these two blocks of data.,"[""('method', 'dependency', 'method'): (update, notice the call to update() and then dofinal(), dofinal)"", ""('method', 'dependency', 'method'): (dofinal, is called after update() in these two blocks of data, update)""]"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,[]
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"[""('method', 'dependency', 'class'): (getinstance, called by, keygenerator)""]"
Initializing a KeyGenerator instance is done by calling its init() method.,"[""('class', 'dependency', 'method'): (keygenerator, is initialized by calling, init)"", ""('class', 'implementation', 'method'): (keygenerator, initializes through, init)""]"
Generating a key is done by calling the KeyGenerator generateKey() method.,[]
