The Collections reverse() method can reverse the elements in a Java List.,"('Collections','has method','Collections.reverse()');  ('Collections.reverse()', 'operates on', 'List')"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.",
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.",
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.",
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"(""BlockingQueue"", ""method"", ""BlockingQueue.add()"")"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.",
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"(""BlockingQueue"", ""method"", ""remove()""); (""remove()"", ""uses"", ""o.equals(element)"")"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.",
The result of that is that the call() method will return a String.,"(""call()"", ""returns"", ""String"")"
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.",
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"(""invokeAll()"", ""method of"", ""Callable"")"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"(""Runnable"", ""has method"", ""run()""); (""Callable"", ""has method"", ""call()""); (""call()"", ""can return"", ""Object"")"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"(""awaitTermination()"", ""is called after"", ""shutdown()""); (""awaitTermination()"", ""is called after"", ""shutdownNow()"")"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"(""ReentrantLock"", ""is a"", ""Lock"")"
To unlock the Lock instance you must call its unlock() method.,"(""Lock"", ""has method"", ""Lock.unlock()"")"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.",
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.",
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.",
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"(""ReentrantLock"", ""method"", ""ReentrantLock.getHoldCount()"")"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",
The CertPath getType() method returns a string telling what type of certificates (e.g.,
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"(""update()"", ""has version"", ""update() with offset parameter""); (""doFinal()"", ""has version"", ""doFinal() with offset parameter"")"
Notice the call to update() and then doFinal() for these two blocks of data.,"(""update()"", ""called before"", ""doFinal()"")"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"(""KeyPairGenerator"", ""belongs to package"", ""java.security"")"
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"(""KeyGenerator"", ""method"", ""KeyGenerator.getInstance()"")"
Initializing a KeyGenerator instance is done by calling its init() method.,"(""KeyGenerator"", ""method"", ""KeyGenerator.init()"")"
Generating a key is done by calling the KeyGenerator generateKey() method.,"(""KeyGenerator"", ""has method"", ""KeyGenerator.generateKey()""); (""KeyGenerator.generateKey()"", ""is called by"", ""Generating a key"")"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"(""KeyPair"", ""has method"", ""KeyPair.getPublic()""); (""KeyPair"", ""has component"", ""PublicKey"")"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"(""KeyPair"", ""has method"", ""KeyPair.getPrivate()""); (""KeyPair.getPrivate()"", ""returns"", ""PrivateKey"")"
You can create a Java KeyStore instance by calling its getInstance() method.,"(""Java KeyStore"", ""has method"", ""Java KeyStore.getInstance()"")"
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"(""Keytool"", ""has command"", ""Keytool -delete""); (""Keytool -delete"", ""removes entry"", ""KeyStore entry""); (""KeyStore entry"", ""has alias"", ""testkey""); (""KeyStore"", ""stored in file"", ""keystore.jks"")"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.",
Here is an example of how to create a Duration object using the between() method:,"(""Duration"", ""method"", ""Duration.between()"")"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"(""LocalDateTime"", ""created via method"", ""LocalDateTime.now()"")"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,"(""LocalTime"", ""part of"", ""Java 8 date time API"")"
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"(""of()"", ""method of"", ""ZoneId"")"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"(""java.sql.Timestamp"", ""extends"", ""java.util.Date"")"
You can get and set the nanoseconds using the getNanos() and setNanos().,"(""getNanos()"", ""can get"", ""nanoseconds""); (""setNanos()"", ""can set"", ""nanoseconds"")"
The Calendar class has a corresponding set() method so you can set these fields too.,"(""Calendar"", ""has method"", ""Calendar.set()"")"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:",
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"(""java.util.Date"", ""implements"", ""java.lang.Comparable"")"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"(""java.util.TimeZone"", ""used in conjunction with"", ""java.util.Calendar"")"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(""readNumberFromUrl()"", ""throws"", ""BadUrlException""); (""readNumberFromUrl()"", ""throws"", ""BadNumberException""); (""readDataFromUrl()"", ""throws"", ""BadUrlException""); (""converData()"", ""throws"", ""BadNumberException"")"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"(""readNumberFromUrl()"", ""declares throwing"", ""ApplicationException"")"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"(""Throwable"", ""has method"", ""Throwable.addSuppressed()"")"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"(""DecimalFormat"", ""has method"", ""DecimalFormat.applyPattern()"")"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"(""DecimalFormat"", ""method"", ""applyLocalizedPattern()""); (""DecimalFormat"", ""method"", ""applyPattern()"")"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"(""Locale"", ""has method"", ""Locale.forLanguageTag()""); (""Locale.forLanguageTag()"", ""creates"", ""Locale"")"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"(""ResourceBundle"", ""has method"", ""ResourceBundle.getString()""); (""ResourceBundle"", ""has method"", ""ResourceBundle.getObject()"")"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,"(""MyBundle.properties"", ""located in"", ""i18n"")"
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"(""SimpleDateFormat"", ""has method"", ""SimpleDateFormat.format()"")"
The Date instance passed to the format() method is a java.util.Date instance.,"(""format()"", ""method of"", ""Date""); (""Date"", ""instance of"", ""java.util.Date"")"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.",
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"(""SimpleDateFormat"", ""method"", ""SimpleDateFormat.parse()""); (""java.util.Date"", ""instance"", ""SimpleDateFormat.parse()"")"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"(""SimpleDateFormat"", ""has method"", ""SimpleDateFormat.setTimeZone()"")"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.",
"After that, the while loop exits, and the BufferedInputStream close() method is called.",
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",
To write data to a Java BufferedOutputStream you can use its write() method.,"(""BufferedOutputStream"", ""has method"", ""BufferedOutputStream.write()"")"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"(""BufferedOutputStream"", ""has method"", ""BufferedOutputStream.flush()"")"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.",
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.",
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"(""BufferedReader"", ""has method"", ""BufferedReader.readLine()"")"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"(""BufferedWriter"", ""has method"", ""BufferedWriter.flush()"")"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"(""ByteArrayInputStream"", ""has method"", ""ByteArrayInputStream.mark()"")"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:",
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",
You can read a Java float from the DataInputStream using its readFloat() method.,"(""DataInputStream"", ""has method"", ""DataInputStream.readFloat()"")"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"(""DataInputStream"", ""has method"", ""DataInputStream.readUnsignedShort()"")"
You can read a Java long from the DataInputStream using its readLong() method.,"(""DataInputStream"", ""has method"", ""DataInputStream.readLong()"")"
"To rename (or move) a file, call the method renameTo() on the File class.",
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"(""File"", ""has method"", ""File.list()""); (""File"", ""has method"", ""File.listFiles()"")"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"(""File"", ""has method"", ""File.list()""); (""File"", ""has method"", ""File.listFiles()"")"
To write data to a Java FileOutputStream you can use its write() method.,"(""FileOutputStream"", ""has method"", ""FileOutputStream.write()"")"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"(""FileOutputStream"", ""has method"", ""FileOutputStream.write()"")"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"(""FileOutputStream"", ""has method"", ""FileOutputStream.close()"")"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"(""OutputStreamWriter"", ""converts"", ""FileOutputStream"")"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"(""FileWriter"", ""has method"", ""FileWriter.flush()"")"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"(""FileWriter"", ""has method"", ""flush()"")"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"(""InputStream"", ""contains method"", ""InputStream.readAllBytes()"")"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.",
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"(""InputStreamReader"", ""has method"", ""InputStreamReader.read()"")"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"(""CharArrayWriter"", ""has method"", ""close()"")"
"Like with FilterInputStream, I see no sensible purpose for this class.",
They make it somewhat easier to understand what the classes are targeting.,
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"(""PipedReader"", ""has method"", ""PipedReader.read()"")"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.",
Closing a Java StringReader can be done using the close() method like this:,"(""StringReader"", ""has method"", ""StringReader.close()"")"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"(""OutputStream"", ""has method"", ""OutputStream.flush()"")"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"(""OutputStreamWriter"", ""has method"", ""OutputStreamWriter.flush()"")"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .",
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"(""Reader"", ""has method"", ""Reader.skip()"")"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"(""StreamTokenizer"", ""method"", ""nextToken()"")"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).",
You will normally use a Writer subclass rather than a Writer directly.,
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,"(""Class"", ""method"", ""forName()""); (""forName()"", ""parameter"", ""String"")"
"By the way, imagine that the used Person class looks like this:",
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"(""JDBC"", ""contains"", ""DatabaseMetaData""); (""JDBC Connection"", ""method"", ""getMetaData()""); (""getMetaData()"", ""creates"", ""DatabaseMetaData"")"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,"(""ResultSet"", ""returned by method"", ""getColumns()"")"
Before the first next() call the ResultSet is positioned before the first row.,
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.",
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",
The purpose of an abstract class is to function as a base for subclasses.,
"If a class has an abstract method, the whole class must be declared abstract.",
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,"(""URLProcessorBase"", ""example of"", ""Template Method design pattern"")"
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"(""SmartClock"", ""subclass of"", ""Clock""); (""SmartClock.getTimeInSeconds()"", ""accesses"", ""Clock.time"")"
The utility class is called Arrays and is located in the standard Java package java.util.,"(""Arrays"", ""located in package"", ""java.util"")"
The purpose of a constructor is to initialize the fields in the class.,
Now the isValid() method returns the value returned by the value.equals() method call.,"(""isValid()"", ""calls"", ""value.equals()"")"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"(""Vehicle"", ""contains method"", ""Vehicle.getLicensePlate()"")"
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.",
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"(""Car"", ""has method"", ""Car.updateLicensePlate()""); (""Car.updateLicensePlate()"", ""sets value on field"", ""Car.licensePlate"")"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.",
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.",
Here is a Java instanceof example illustrating the comparison of null against a class:,
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.",
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",
The class does not need to implement (declare) the variables of an interface.,
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,
The implementation in the class takes precedence over any default implementations.,
"Since the return value of produce() is Object, it can return any Java object.",
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.",
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.",
Now the result variable would end up with the value 12.5.,
The example above defines a method called writeText inside a class named MyClass.,"(""MyClass"", ""contains method"", ""MyClass.writeText()"")"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,
Here is how you run the main class from a Java module JAR file:,
