Original Text,NULL
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","(""Map"", ""The getOrDefault method is called on the Map to retrieve a value associated with a key."", ""getOrDefault""); (""getOrDefault"", ""The getOrDefault method takes a String as a key parameter."", ""String"")"
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"(""Map"", ""The Map class is using the getOrDefault method to retrieve a value based on a key."", ""getOrDefault"")"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).",NULL
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,NULL
The isEmpty() method will return false if the Map instance contains 1 or more entries.,NULL
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,NULL
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.","(""tailMap"", ""tailMap references a SortedMap containing key-value pairs."", ""SortedMap"")"
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,NULL
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.",NULL
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","(""DescendingIterator"", ""The method allows you to iterate the elements of the NavigableSet in reverse order."", ""NavigableSet"")"
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","(""getProperty"", ""The getProperty method is used to retrieve properties from a Properties object."", ""Properties"")"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","(""InputStream"", ""InputStream is used to load a file into a Java Properties instance."", ""Properties""); (""Properties"", ""Properties class has a method called load() to load properties."", ""load"")"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(""Queue"", ""poll() is a method of the Queue class used to retrieve and remove the head of the queue."", ""poll"")"
You can check if a Java Queue contains a certain element via its contains() method.,NULL
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"(""removeAll"", ""removeAll() is a method of the Set class that operates on Set instances."", ""Set"")"
You can check the size of a Java Set using the size() method.,NULL
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",NULL
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"(""SortedMap"", ""headMap() is a method of the SortedMap interface that returns a new Map containing elements of the SortedMap."", ""headMap"")"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,NULL
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"(""Java Collections API"", ""The Java Collections API includes the SortedSet interface as part of its functionality."", ""SortedSet"")"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","(""Vector"", ""Vector class uses Enumeration as a part of its implementation."", ""Enumeration"")"
You push elements onto a Java Stack using its push() method.,NULL
Here is an example of obtaining the size of a Java Stack via its size() method:,NULL
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,NULL
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"(""BoundedSemaphore"", ""The take() method is a test-and-set method of the BoundedSemaphore class."", ""take"")"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,NULL
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","(""Runnable"", ""The stop method is related to the Runnable class as it is a method that can be invoked on a Runnable implementation."", ""stop""); (""Runnable"", ""The pause method is related to the Runnable class as it is a method that can be invoked on a Runnable implementation."", ""pause"")"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","(""Thread"", ""The thread calls the addChild method, indicating a relationship between the thread and the method being invoked."", ""addChild""); (""Thread"", ""The thread calls the setParent method, indicating a relationship between the thread and the method being invoked."", ""setParent""); (""Parent"", ""The addChild method is associated with the Parent class, indicating a relationship between the method and the class."", ""addChild"")"
"Here are the two classes used in the example above, Counter and CounterThread.",NULL
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.",NULL
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","(""withInitial"", ""withInitial() is a static factory method used to create an instance of ThreadLocal."", ""ThreadLocal"")"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"(""format"", ""The format() method calls the getThreadLocalSimpleDateFormat() method."", ""getThreadLocalSimpleDateFormat"")"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:",NULL
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","(""isLocked"", ""isLocked indicates the state of the lock method being called."", ""lock"")"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","(""Thread"", ""The thread executes code within the critical section."", ""Critical Section""); (""Thread"", ""The thread calls unlock() after finishing the critical section."", ""Unlock()"")"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",NULL
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","(""wait"", ""wait() is a method that should be called on an internal monitor object."", ""internal monitor object"")"
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"(""SynchronizedCounter"", ""The inc() method is defined within the SynchronizedCounter class."", ""inc""); (""SynchronizedCounter"", ""The count() method is defined within the SynchronizedCounter class."", ""count"")"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","(""NonblockingTemplate"", ""NonblockingTemplate contains IntendedModification as a nested class."", ""IntendedModification""); (""IntendedModification"", ""IntendedModification has a field of type AtomicBoolean named completed."", ""AtomicBoolean""); (""NonblockingTemplate"", ""NonblockingTemplate has a field of type AtomicStampedReference that references IntendedModification."", ""AtomicStampedReference"")"
Here is how the lockRead() and unlockRead() methods looks after that change:,NULL
Here is how the lockWrite() and unlockWrite() methods look after that change:,NULL
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.",NULL
The take() method sends a signal which is stored internally in the Semaphore.,NULL
"That way the signal is not missed, even if doNotify() is called before doWait().",NULL
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","(""Synchronizer"", ""The Synchronizer class is related to the Lock implementation as it references the Lock class in its functionality."", ""Lock"")"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","(""unlock"", ""The method unlock() operates on the QueueObject by taking it from the queue."", ""QueueObject"")"
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","(""queueObject"", ""doWait is a method of the queueObject class."", ""doWait"")"
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",NULL
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.",NULL
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","(""Java.lang.Object"", ""The method wait() is defined in the class java.lang.Object."", ""wait()""); (""Java.lang.Object"", ""The method notify() is defined in the class java.lang.Object."", ""notify()"")"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","(""Thread"", ""The calling thread must call wait() from inside a synchronized block."", ""wait"")"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,NULL
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","(""doNotify"", ""doNotify() method is related to notifyAll() because it is suggested that doNotify() should have called notifyAll() instead of notify()."", ""notifyAll"")"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().","(""C"", ""C and D are mentioned together in the context of waiting for a signal."", ""D""); (""doWait()"", ""doWait() is a method that is related to the behavior of C in the context of waiting."", ""C"")"
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.",NULL
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",NULL
You can get the value of an AtomicInteger instance via the get() method.,NULL
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,NULL
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,"(""JavaDoc"", ""JavaDoc provides documentation for the AtomicIntegerArray class."", ""AtomicIntegerArray"")"
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",NULL
You can set the value of an AtomicLong instance via the set() method.,NULL
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,NULL
You can get the value of a given element using the get() method on the AtomicLongArray.,NULL
You can set the value of a given element using the set() method on the AtomicLongArray.,NULL
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.",NULL
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,NULL
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.",NULL
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,NULL
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,NULL
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.",NULL
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",NULL
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","(""ConcurrentMap"", ""ConcurrentMap inherits methods from its superinterface, java.util.Map."", ""java.util.Map"")"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",NULL
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","(""BlockingQueueExample"", ""The BlockingQueueExample class starts a Producer in a separate thread."", ""Producer"")"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"(""add()"", ""The add() method is a method of the BlockingQueue class."", ""BlockingQueue"")"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","(""BlockingQueue"", ""The add() method is a function that operates on the BlockingQueue class."", ""add"")"
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"(""remove"", ""The remove() method uses the o.equals(element) to determine if the object o matches a given element."", ""o""); (""remove"", ""The remove() method checks if the object o matches the given element."", ""element"")"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","(""BlockingQueue"", ""The element() method is associated with the BlockingQueue class as it retrieves elements from it."", ""element"")"
The result of that is that the call() method will return a String.,NULL
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",NULL
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","(""ExecutorService"", ""The execute method is a method of the ExecutorService class."", ""execute"")"
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",NULL
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"(""invokeAll"", ""The invokeAll() method is designed to invoke all Callable objects."", ""Callable"")"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"(""run()"", ""The run() method is compared to the call() method in terms of their functionality."", ""call()"")"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",NULL
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"(""AwaitTermination"", ""The awaitTermination() method is called after calling the shutdown() method."", ""Shutdown"")"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,NULL
To unlock the Lock instance you must call its unlock() method.,NULL
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.","(""Lock"", ""Lock is used to protect the internal count in the Counter class."", ""Counter"")"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","(""calculate"", ""The calculate() method is a part of the Calculator class."", ""Calculator""); (""calculate"", ""The calculate() method calls the add() method."", ""add"")"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","(""Lock"", ""The lock() method is associated with the Lock class, indicating it is a method that operates on Lock instances."", ""lock""); (""thread"", ""The thread calling the lock() method is related to the Lock class as it attempts to acquire the lock."", ""lock"")"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,NULL
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",NULL
The CertPath getType() method returns a string telling what type of certificates (e.g.,NULL
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"(""update"", ""Both methods are related as they are versions that handle an offset parameter for the dest byte array."", ""doFinal""); (""update"", ""The update method is used to set a different offset for the dest byte array."", ""dest byte array"")"
Notice the call to update() and then doFinal() for these two blocks of data.,NULL
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,NULL
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"(""getInstance"", ""getInstance is a static method used to create an instance of KeyGenerator."", ""KeyGenerator"")"
Initializing a KeyGenerator instance is done by calling its init() method.,NULL
Generating a key is done by calling the KeyGenerator generateKey() method.,NULL
You can access the PublicKey of a KeyPair by calling its getPublic() method.,NULL
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"(""KeyPair"", ""The PrivateKey is a property of the KeyPair class."", ""PrivateKey"")"
You can create a Java KeyStore instance by calling its getInstance() method.,NULL
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"(""Keytool"", ""The delete method is a command associated with the Keytool class."", ""delete""); (""KeyStore"", ""The testkey is an alias for an entry in the KeyStore class."", ""testkey"")"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",NULL
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","(""Date"", ""Date is a class within the java.sql package."", ""java.sql"")"
Here is an example of how to create a Duration object using the between() method:,NULL
Here is an example that shows how to create a LocalDateTime object via the now() method:,NULL
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,NULL
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,NULL
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","(""PreparedStatement"", ""PreparedStatement can set a date using java.sql.Date."", ""Date""); (""ResultSet"", ""ResultSet can get a date using java.sql.Date."", ""Date"")"
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"(""Timestamp"", ""Timestamp is a subclass of Date, indicating an inheritance relationship."", ""Date""); (""Timestamp"", ""Timestamp is part of the java.sql package."", ""java.sql"")"
You can get and set the nanoseconds using the getNanos() and setNanos().,NULL
The Calendar class has a corresponding set() method so you can set these fields too.,NULL
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","(""Date"", ""The getTime method is used to access the date and time contained in a Date instance."", ""getTime"")"
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"(""Date"", ""The Date class implements the Comparable interface, allowing instances of Date to be compared."", ""Comparable""); (""Date"", ""The Date class is part of the java.util package."", ""java.util"")"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,NULL
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(""readNumberFromUrl"", ""The method readNumberFromUrl() needs to declare throwing BadUrlException."", ""BadUrlException""); (""readNumberFromUrl"", ""The method readNumberFromUrl() needs to declare throwing BadNumberException."", ""BadNumberException""); (""readDataFromUrl"", ""BadUrlException is thrown from the method readDataFromUrl()."", ""BadUrlException""); (""readDataFromUrl"", ""BadNumberException is thrown from the method readDataFromUrl()."", ""BadNumberException"")"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,NULL
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",NULL
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.","(""Input"", ""The method input.close() is related to the IOException as it may throw this exception if it fails."", ""IOException"")"
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,NULL
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,NULL
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"(""applyLocalizedPattern"", ""applyLocalizedPattern() does the same as applyPattern()"", ""applyPattern"")"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",NULL
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,NULL
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"(""ResourceBundle"", ""getString() is a method that accesses localized values in ResourceBundle."", ""getString"")"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,NULL
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,NULL
The Date instance passed to the format() method is a java.util.Date instance.,"(""Date"", ""The format() method is used to format the Date instance."", ""format"")"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","(""SimpleDateFormat"", ""The SimpleDateFormat class is capable of formatting a Date object."", ""Date""); (""SimpleDateFormat"", ""The SimpleDateFormat class formats a Date object into a StringBuffer."", ""StringBuffer"")"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"(""parse"", ""The parse() method is a method of the SimpleDateFormat class."", ""SimpleDateFormat""); (""java.util.Date"", ""A String can be parsed into a java.util.Date instance."", ""String"")"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,NULL
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","(""BufferedInputStream"", ""BufferedInputStream is a class that supports the markSupported() method."", ""markSupported""); (""BufferedInputStream"", ""BufferedInputStream is a class that supports the mark() method."", ""mark""); (""BufferedInputStream"", ""BufferedInputStream is a class that supports the reset() method."", ""reset""); (""InputStream"", ""mark() is a method that is called on InputStream."", ""mark"")"
"After that, the while loop exits, and the BufferedInputStream close() method is called.",NULL
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",NULL
To write data to a Java BufferedOutputStream you can use its write() method.,NULL
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,NULL
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",NULL
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.",NULL
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.",NULL
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,NULL
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"(""BufferedWriter"", ""The flush() method is a method of the BufferedWriter class that flushes data to the underlying data destination."", ""flush"")"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,NULL
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","(""ByteArrayOutputStream"", ""ByteArrayOutputStream is a subclass of OutputStream"", ""OutputStream"")"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",NULL
You can read a Java float from the DataInputStream using its readFloat() method.,NULL
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,NULL
You can read a Java long from the DataInputStream using its readLong() method.,NULL
"To rename (or move) a file, call the method renameTo() on the File class.",NULL
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"(""File"", ""The list() method is a method of the Java File class."", ""list"")"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"(""File"", ""The list() method is used to list files in a directory via the File class."", ""list"")"
To write data to a Java FileOutputStream you can use its write() method.,NULL
Here is an example of writing data to a Java FileOutputStream using its write() method:,NULL
Here is an example of closing a Java FileOutputStream by calling its close() method:,NULL
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"(""OutputStreamWriter"", ""OutputStreamWriter is a class that converts FileOutputStream to a character based Writer."", ""Writer"")"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,NULL
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,NULL
Notice how there is no longer any explicit close() method call to the FileWriter instance.,NULL
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"(""InputStream"", ""The readAllBytes method is a method defined in the InputStream class."", ""readAllBytes"")"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,NULL
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","(""InputStream"", ""InputStream subclass supports the mark() method"", ""mark""); (""InputStream"", ""InputStream subclass supports the reset() method"", ""reset"")"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,NULL
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,NULL
"Like with FilterInputStream, I see no sensible purpose for this class.",NULL
They make it somewhat easier to understand what the classes are targeting.,NULL
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,NULL
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.",NULL
Closing a Java StringReader can be done using the close() method like this:,NULL
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,NULL
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"(""flush"", ""The flush() method is a method of the OutputStreamWriter class that flushes data to the underlying data destination."", ""OutputStreamWriter"")"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",NULL
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .","(""Java PushbackInputStream"", ""The read() method is a function of the Java PushbackInputStream class."", ""read()"")"
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",NULL
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,NULL
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,NULL
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).","(""System.in"", ""Both System.in and System.out are initialized by the Java runtime, indicating they are related as part of the Java I/O system."", ""System.out""); (""System.in"", ""Both System.in and System.err are initialized by the Java runtime, indicating they are related as part of the Java I/O system."", ""System.err"")"
You will normally use a Writer subclass rather than a Writer directly.,NULL
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,"(""forName()"", ""The forName() method is used to obtain the Class object associated with the specified class name."", ""Class""); (""String"", ""The String parameter is passed to the forName() method."", ""forName()""); (""JDBC driver class"", ""The JDBC driver class is represented by the Class object obtained from the forName() method."", ""Class"")"
"By the way, imagine that the used Person class looks like this:",NULL
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"(""Connection"", ""The getMetaData() method is a method of the Connection class that retrieves the DatabaseMetaData object."", ""getMetaData"")"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,"(""getColumns"", ""The getColumns() method returns a ResultSet containing a list of columns."", ""ResultSet"")"
Before the first next() call the ResultSet is positioned before the first row.,NULL
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.",NULL
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",NULL
The purpose of an abstract class is to function as a base for subclasses.,NULL
"If a class has an abstract method, the whole class must be declared abstract.",NULL
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,NULL
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"(""SmartClock"", ""SmartClock has a method called getTimeInSeconds()"", ""getTimeInSeconds"")"
The utility class is called Arrays and is located in the standard Java package java.util.,NULL
The purpose of a constructor is to initialize the fields in the class.,NULL
Now the isValid() method returns the value returned by the value.equals() method call.,NULL
