The Collections reverse() method can reverse the elements in a Java List.,"(""[ Collections"", ""hasMethod"", ""reverse() ]""); (""[ reverse()"", ""operatesOn"", ""Java List ]"")"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"(""Java"", ""has class"", ""AtomicLongArray""); (""AtomicLongArray"", ""belongs to package"", ""java.util.concurrent.atomic""); (""AtomicLongArray"", ""represents"", ""array of long"")"
You can get the value of a given element using the get() method on the AtomicLongArray.,"(""AtomicLongArray"", ""has method"", ""get()"")"
You can set the value of a given element using the set() method on the AtomicLongArray.,"(""AtomicLongArray"", ""has method"", ""set()"")"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.",
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.",
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"(""AtomicStampedReference"", ""hasMethod"", ""getReference()""); (""AtomicStampedReference"", ""returns"", ""reference""); (""getReference()"", ""returns"", ""reference""); (""AtomicStampedReference"", ""hasVariable"", ""type"")"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"(""AtomicStampedReference"", ""contains"", ""getStamp()""); (""getStamp()"", ""used to obtain"", ""stamp""); (""AtomicStampedReference"", ""has method"", ""getStamp()"")"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.",
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.",
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.",
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"(""BlockingQueue"", ""has method"", ""add()""); (""add()"", ""is part of"", ""BlockingQueue""); (""BlockingQueue"", ""has parameter"", ""element"")"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.",
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"(""remove()"", ""uses"", ""equals()""); (""BlockingQueue"", ""contains"", ""element""); (""remove()"", ""takes"", ""o""); (""o"", ""passed to"", ""remove()""); (""element"", ""compared to"", ""o""); (""equals()"", ""called on"", ""o""); (""o"", ""compared to"", ""element"")"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.",
The result of that is that the call() method will return a String.,"(""call()"", ""returns"", ""String"")"
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.",
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"(""invokeAll()"", ""invokes"", ""Callable""); (""invokeAll()"", ""is method of"", ""unknown class""); (""Callable"", ""is passed to"", ""invokeAll()"")"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"(""Runnable"", ""has method"", ""run()""); (""Callable"", ""has method"", ""call()""); (""call()"", ""returns"", ""Object"")"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"(""awaitTermination()"", ""is typically called after"", ""shutdown()""); (""awaitTermination()"", ""is typically called after"", ""shutdownNow()"")"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"(""ReentrantLock"", ""is a"", ""Lock"")"
To unlock the Lock instance you must call its unlock() method.,"(""Lock"", ""has method"", ""unlock()"")"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.",
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.",
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.",
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"(""ReentrantLock"", ""hasMethod"", ""getHoldCount()""); (""getHoldCount()"", ""returns"", ""hold count""); (""ReentrantLock"", ""isTypeOf"", ""Lock""); (""Lock"", ""hasMethod"", ""getHoldCount()""); (""getHoldCount()"", ""belongsTo"", ""ReentrantLock"")"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",
The CertPath getType() method returns a string telling what type of certificates (e.g.,"(""CertPath"", ""hasMethod"", ""getType()""); (""getType()"", ""returns"", ""String""); (""CertPath"", ""returnsType"", ""certificates"")"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"(""update()"", ""takes"", ""offset parameter""); (""doFinal()"", ""takes"", ""offset parameter""); (""update()"", ""has version"", ""update(int offset)""); (""doFinal()"", ""has version"", ""doFinal(int offset)"")"
Notice the call to update() and then doFinal() for these two blocks of data.,"(""update()"", ""called by"", ""unknown block""); (""doFinal()"", ""called by"", ""unknown block""); (""unknown block"", ""calls"", ""update()""); (""unknown block"", ""calls"", ""doFinal()"")"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"(""KeyPairGenerator"", ""uses"", ""java.security.KeyPairGenerator""); (""KeyPairGenerator"", ""located in"", ""java.security""); (""java.security.KeyPairGenerator"", ""generates"", ""asymmetric key pair"")"
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"(""KeyGenerator"", ""getInstance()"", ""encryption algorithm""); (""KeyGenerator"", ""hasMethod"", ""getInstance()""); (""getInstance()"", ""returns"", ""KeyGenerator""); (""encryption algorithm"", ""isParameterOf"", ""getInstance()"")"
Initializing a KeyGenerator instance is done by calling its init() method.,"(""KeyGenerator"", ""has method"", ""init()"")"
Generating a key is done by calling the KeyGenerator generateKey() method.,"(""KeyGenerator"", ""has method"", ""generateKey()"")"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"(""KeyPair"", ""has method"", ""getPublic()""); (""KeyPair"", ""contains"", ""PublicKey""); (""getPublic()"", ""returns"", ""PublicKey"")"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"(""PrivateKey"", ""accessed by"", ""getPrivate()""); (""getPrivate()"", ""method of"", ""KeyPair"")"
You can create a Java KeyStore instance by calling its getInstance() method.,"(""Java KeyStore"", ""getInstance"", ""getInstance() method""); (""Java KeyStore"", ""has method"", ""getInstance()""); (""getInstance() method"", ""is called on"", ""Java KeyStore"")"
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"(""Keytool"", ""hasCommand"", ""-delete""); (""Keytool"", ""affects"", ""KeyStore""); (""KeyStore"", ""hasEntry"", ""testkey""); (""KeyStore"", ""storedIn"", ""keystore.jks""); (""-delete"", ""removes"", ""KeyStore entry""); (""KeyStore"", ""hasAlias"", ""testkey""); (""keystore.jks"", ""stores"", ""KeyStore"")"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.",
Here is an example of how to create a Duration object using the between() method:,"(""Duration"", ""uses"", ""between()""); (""between()"", ""creates"", ""Duration"")"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"(""LocalDateTime"", ""hasMethod"", ""now()"")"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,"(""LocalTime"", ""represents"", ""time of day""); (""LocalTime"", ""belongs to"", ""Java 8 date time API""); (""Java 8 date time API"", ""contains"", ""LocalTime"")"
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"(""ZoneId"", ""created for"", ""time zone""); (""ZoneId"", ""has method"", ""of()""); (""of()"", ""takes parameter"", ""ID"")"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"(""java.sql.Timestamp"", ""inherits from"", ""java.util.Date""); (""java.sql.Timestamp"", ""has ability"", ""hold nanoseconds""); (""java.util.Date"", ""lacks ability"", ""hold nanoseconds"")"
You can get and set the nanoseconds using the getNanos() and setNanos().,"(""getNanos()"", ""is used to get"", ""nanoseconds""); (""setNanos()"", ""is used to set"", ""nanoseconds"")"
The Calendar class has a corresponding set() method so you can set these fields too.,"(""Calendar"", ""has"", ""set()"")"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:",
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"(""java.util.Date"", ""implements"", ""java.lang.Comparable"")"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"(""java.util.TimeZone"", ""used in conjunction with"", ""java.util.Calendar"")"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(""readNumberFromUrl()"", ""declares"", ""BadUrlException""); (""readNumberFromUrl()"", ""declares"", ""BadNumberException""); (""readNumberFromUrl()"", ""calls"", ""readDataFromUrl()""); (""readDataFromUrl()"", ""throws"", ""BadUrlException""); (""readNumberFromUrl()"", ""calls"", ""convertData()""); (""convertData()"", ""throws"", ""BadNumberException"")"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"(""readNumberFromUrl()"", ""declares throwing"", ""ApplicationException"")"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"(""Throwable"", ""has method"", ""addSuppressed()""); (""addSuppressed()"", ""takes parameter"", ""Throwable"")"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"(""DecimalFormat"", ""has method"", ""applyPattern()""); (""applyPattern()"", ""applies to"", ""DecimalFormat""); (""DecimalFormat"", ""created with"", ""pattern"")"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"(""DecimalFormat"", ""has method"", ""applyLocalizedPattern()""); (""applyLocalizedPattern()"", ""similar to"", ""applyPattern()""); (""DecimalFormat"", ""created with"", ""Locale"")"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"(""ResourceBundle"", ""has method"", ""getString()""); (""ResourceBundle"", ""has method"", ""getObject()"")"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,"(""MyBundle.properties"", ""isLocatedIn"", ""i18n""); (""i18n"", ""contains"", ""MyBundle.properties"")"
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"(""SimpleDateFormat"", ""has method"", ""format()""); (""SimpleDateFormat"", ""uses method"", ""format()""); (""format()"", ""is method of"", ""SimpleDateFormat"")"
The Date instance passed to the format() method is a java.util.Date instance.,"(""Date"", ""passed to"", ""format() method""); (""format() method"", ""is called with"", ""java.util.Date instance""); (""Date"", ""is an instance of"", ""java.util.Date"")"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.",
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"(""String"", ""parsed into"", ""java.util.Date""); (""SimpleDateFormat"", ""has method"", ""parse()""); (""SimpleDateFormat"", ""used for"", ""String""); (""SimpleDateFormat"", ""returns"", ""java.util.Date""); (""String"", ""parsed by"", ""SimpleDateFormat"")"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"(""SimpleDateFormat"", ""has method"", ""setTimeZone()""); (""setTimeZone()"", ""belongs to"", ""SimpleDateFormat"")"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.",
"After that, the while loop exits, and the BufferedInputStream close() method is called.",
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",
To write data to a Java BufferedOutputStream you can use its write() method.,"(""BufferedOutputStream"", ""has method"", ""write()""); (""BufferedOutputStream"", ""uses method"", ""write()""); (""write()"", ""is method of"", ""BufferedOutputStream"")"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"(""BufferedOutputStream"", ""has method"", ""flush()"")"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.",
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.",
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"(""Java BufferedReader"", ""has method"", ""readLine()""); (""BufferedReader"", ""reads from"", ""internal buffer""); (""readLine()"", ""reads"", ""line of text""); (""BufferedReader"", ""has"", ""internal buffer"")"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"(""BufferedWriter"", ""has method"", ""flush()""); (""flush()"", ""is method of"", ""BufferedWriter""); (""BufferedWriter"", ""writes to"", ""data destination"")"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"(""ByteArrayInputStream"", ""has method"", ""mark()""); (""mark()"", ""is method of"", ""ByteArrayInputStream""); (""ByteArrayInputStream"", ""sets"", ""internal mark""); (""internal mark"", ""is set by"", ""mark()""); (""mark()"", ""sets at"", ""current byte position""); (""current byte position"", ""is set by"", ""mark()"")"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:",
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",
You can read a Java float from the DataInputStream using its readFloat() method.,"(""DataInputStream"", ""has method"", ""readFloat()""); (""readFloat()"", ""returns"", ""float""); (""DataInputStream"", ""reads"", ""float"")"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"(""DataInputStream"", ""has method"", ""readUnsignedShort()"")"
You can read a Java long from the DataInputStream using its readLong() method.,"(""DataInputStream"", ""has method"", ""readLong()"")"
"To rename (or move) a file, call the method renameTo() on the File class.",
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"(""File"", ""hasMethod"", ""list()""); (""File"", ""hasMethod"", ""listFiles()"")"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"(""File"", ""hasMethod"", ""list()""); (""File"", ""hasMethod"", ""listFiles()"")"
To write data to a Java FileOutputStream you can use its write() method.,"(""FileOutputStream"", ""has method"", ""write()""); (""FileOutputStream"", ""uses method"", ""write()""); (""write()"", ""is method of"", ""FileOutputStream"")"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"(""FileOutputStream"", ""hasMethod"", ""write()""); (""FileOutputStream"", ""usesMethod"", ""write()""); (""write()"", ""belongsTo"", ""FileOutputStream"")"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"(""FileOutputStream"", ""hasMethod"", ""close()""); (""FileOutputStream"", ""calls"", ""close()""); (""close()"", ""isMethodOf"", ""FileOutputStream""); (""FileOutputStream"", ""uses"", ""close()""); (""close()"", ""belongsTo"", ""FileOutputStream"")"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"(""FileOutputStream"", ""converted to"", ""OutputStreamWriter""); (""OutputStreamWriter"", ""is a"", ""Writer""); (""FileOutputStream"", ""uses"", ""OutputStreamWriter"")"
