The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'method', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"[""('method', 'method', 'method'): (format(), calls, getthreadlocalsimpledateformat())"", ""('method', 'method', 'class'): (getthreadlocalsimpledateformat(), obtain, simpledateformat)""]"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:","[""('class', 'replacement', 'class'): (counter, using a lock instead of a synchronized block, lock)""]"
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","[""('method', 'dependency', 'method'): (lock(), is parked waiting, wait())""]"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","[""('method', 'dependency', 'method'): (lock(), requirement, unlock())""]"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",[]
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.",[]
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"[""('class', 'containment', 'method'): (synchronizedcounter, contains_method, inc())"", ""('class', 'containment', 'method'): (synchronizedcounter, contains_method, count())"", ""('method', 'association', 'method'): (inc(), synchronized_block, count())""]"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","[""('class', 'containment', 'class'): (java.util.concurrent.atomic.atomicstampedreference, includes, java.util.concurrent.atomic.atomicboolean)""]"
Here is how the lockRead() and unlockRead() methods looks after that change:,"[""('method', 'modification', 'method'): (lockread(), change, unlockread())""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"[""('method', 'modification', 'method'): (lockwrite(), change, unlockwrite())""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.",[]
The take() method sends a signal which is stored internally in the Semaphore.,"[""('method', 'method', 'class'): (take(), sends a signal, semaphore)""]"
"That way the signal is not missed, even if doNotify() is called before doWait().","[""('method', 'dependency', 'method'): (donotify(), requirement, dowait())""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","[""('class', 'containment', 'method'): (synchronizer, includes, lock())""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","[""('method', 'method', 'method'): (unlock(), calls, donotify())""]"
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","[""('method', 'dependency', 'method'): (dowait, requires, unlock)"", ""('method', 'dependency', 'method'): (dowait, requires, lock)"", ""('method', 'association', 'method'): (unlock, can be called when no thread is executing inside, lock)""]"
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",[]
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","[""('method', 'method', 'class'): (add(), returns, immutablevalue)""]"
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","[""('class', 'method', 'method'): (java.lang.object, defines, wait())"", ""('class', 'method', 'method'): (java.lang.object, defines, notify())"", ""('class', 'method', 'method'): (java.lang.object, defines, notifyall())""]"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","[""('method', 'method', 'method'): (wait(), call, notify())""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"[""('method', 'method', 'method'): (notify(), do not save the method calls, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","[""('method', 'replacement', 'method'): (donotify(), called, notifyall())"", ""('method', 'replacement', 'method'): (notifyall(), instead of, notify())""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","[""('method', 'method', 'class'): (compareandset(), allows, atomicboolean)""]"
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'containment', 'method'): (atomicinteger, contains, compareandset())""]"
You can get the value of an AtomicInteger instance via the get() method.,"[""('class', 'method', 'method'): (atomicinteger, utilizes, get())""]"
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"[""('method', 'method', 'class'): (addandget(), operation, atomicintegerarray)""]"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,[]
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'containment', 'method'): (atomiclong, contains, compareandset())""]"
You can set the value of an AtomicLong instance via the set() method.,"[""('class', 'method', 'method'): (atomiclong, set method, set())""]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,[]
You can get the value of a given element using the get() method on the AtomicLongArray.,"[""('method', 'method', 'class'): (get(), method on, atomiclongarray)""]"
You can set the value of a given element using the set() method on the AtomicLongArray.,"[""('method', 'method', 'class'): (set(), using, atomiclongarray)""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","[""('class', 'method', 'method'): (atomicreference, has an advanced method, compareandset())""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,[]
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","[""('method', 'comparison', 'class'): (compareandset(), compare, atomicreference)"", ""('method', 'comparison', 'method'): (compareandset(), compare, equals())""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,[]
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"[""('class', 'containment', 'method'): (atomicstampedreference, contains, getstamp())""]"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","[""('method', 'method', 'class'): (compareandset(), utilizes, atomicstampedreference)""]"
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.","[""('interface', 'containment', 'class'): (blockingdeque, in, java.util.concurrent)""]"
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","[""('interface', 'containment', 'interface'): (concurrentmap, inherits from, java.util.map)""]"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",[]
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","[""('class', 'association', 'class'): (producer, in separate threads, consumer)""]"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,[]
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","[""('class', 'dependency', 'method'): (blockingqueue, does not have space for, add())""]"
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"[""('method', 'method', 'method'): (remove(), use, equals())"", ""('method', 'containment', 'class'): (remove(), in, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","[""('interface', 'containment', 'method'): (blockingqueue, contain, element())""]"
The result of that is that the call() method will return a String.,[]
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",[]
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.",[]
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",[]
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,[]
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"[""('method', 'comparison', 'method'): (run(), difference, call())""]"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",[]
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,[]
In the following sections I will explain how to use the ReentrantLock class as a Lock.,[]
To unlock the Lock instance you must call its unlock() method.,"[""('class', 'method', 'method'): (lock, call, unlock())""]"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.","[""('class', 'containment', 'class'): (lock, protects, counter)"", ""('method', 'containment', 'class'): (synchronized block, protects, counter)""]"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","[""('method', 'method', 'method'): (calculate(), calls, add())"", ""('method', 'method', 'method'): (calculate(), calls, subtract())"", ""('method', 'dependency', 'class'): (calculate(), locks, lock)"", ""('method', 'dependency', 'class'): (add(), locks, lock)"", ""('method', 'dependency', 'class'): (subtract(), locks, lock)""]"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","[""('method', 'method', 'class'): (lock(), calling, lock)""]"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"[""('class', 'method', 'method'): (reentrantlock, utilizes, getholdcount())""]"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",[]
The CertPath getType() method returns a string telling what type of certificates (e.g.,"[""('class', 'method', 'method'): (certpath, utilizes, gettype())""]"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"[""('method', 'alternative', 'method'): (update(), version, dofinal())""]"
Notice the call to update() and then doFinal() for these two blocks of data.,"[""('method', 'method', 'method'): (update(), call, dofinal())""]"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,[]
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"[""('class', 'creation', 'method'): (keygenerator, create, getinstance())""]"
Initializing a KeyGenerator instance is done by calling its init() method.,"[""('class', 'method', 'method'): (keygenerator, is initialized by, init())""]"
Generating a key is done by calling the KeyGenerator generateKey() method.,"[""('class', 'method', 'method'): (keygenerator, calling, generatekey())""]"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,[]
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"[""('method', 'method', 'class'): (getprivate(), access method, keypair)"", ""('class', 'containment', 'class'): (keypair, includes, privatekey)""]"
You can create a Java KeyStore instance by calling its getInstance() method.,[]
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,[]
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","[""('method', 'dependency', 'method'): (update(), requirement, sign())""]"
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","[""('class', 'association', 'class'): (java.sql.date, read and write the date and time to a database, java.sql.timestamp)""]"
Here is an example of how to create a Duration object using the between() method:,"[""('class', 'creation', 'method'): (duration, create, between())""]"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"[""('class', 'creation', 'method'): (localdatetime, create, now())""]"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,[]
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"[""('method', 'creation', 'class'): (of(), create, zoneid)""]"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",[]
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"[""('class', 'comparison', 'class'): (java.sql.timestamp, difference in ability to hold nanoseconds, java.util.date)""]"
You can get and set the nanoseconds using the getNanos() and setNanos().,"[""('method', 'method', 'method'): (getnanos(), usage, setnanos())""]"
The Calendar class has a corresponding set() method so you can set these fields too.,"[""('class', 'method', 'method'): (calendar, has a corresponding, set())""]"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","[""('class', 'method', 'method'): (java.util.date, access, gettime())""]"
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"[""('class', 'comparison', 'interface'): (java.util.date, compare, java.lang.comparable)""]"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"[""('class', 'dependency', 'class'): (java.util.timezone, used in conjunction with, java.util.calendar)""]"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"[""('method', 'dependency', 'method'): (readnumberfromurl(), are thrown from, readdatafromurl())"", ""('method', 'dependency', 'method'): (readnumberfromurl(), are thrown from, converdata())""]"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,[]
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",[]
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",[]
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"[""('class', 'method', 'method'): (throwable, has_method, addsuppressed())""]"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"[""('method', 'method', 'class'): (applypattern(), applies, decimalformat)""]"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"[""('method', 'equivalence', 'method'): (applylocalizedpattern(), does the same as, applypattern())"", ""('method', 'dependency', 'class'): (applylocalizedpattern(), interpretes the characters according to the locale, decimalformat)""]"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",[]
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"[""('method', 'creation', 'class'): (locale.forlanguagetag(), create, locale)""]"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"[""('method', 'method', 'class'): (getstring(), access, resourcebundle)"", ""('method', 'method', 'class'): (getobject(), access, resourcebundle)""]"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,[]
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"[""('class', 'method', 'method'): (simpledateformat, format dates using, format())""]"
The Date instance passed to the format() method is a java.util.Date instance.,"[""('method', 'method', 'class'): (format(), utilizes, java.util.date)""]"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","[""('class', 'conversion', 'class'): (simpledateformat, formatting, date)"", ""('class', 'conversion', 'class'): (simpledateformat, formatting, stringbuffer)"", ""('class', 'return', 'class'): (simpledateformat, returning, string)""]"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"[""('class', 'method', 'method'): (simpledateformat, parse, parse())""]"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"[""('class', 'method', 'method'): (simpledateformat, set the time zone using, settimezone())""]"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","[""('method', 'method', 'method'): (marksupported(), find out if supported, mark())"", ""('method', 'method', 'method'): (marksupported(), find out if supported, reset())"", ""('method', 'method', 'class'): (marksupported(), find out if supported, inputstream)"", ""('method', 'method', 'class'): (marksupported(), find out if supported, bufferedinputstream)""]"
"After that, the while loop exits, and the BufferedInputStream close() method is called.","[""('class', 'method', 'method'): (bufferedinputstream, called, close())""]"
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",[]
To write data to a Java BufferedOutputStream you can use its write() method.,"[""('class', 'method', 'method'): (bufferedoutputstream, use, write())""]"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"[""('class', 'method', 'method'): (bufferedoutputstream, utilizes, flush())""]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","[""('class', 'method', 'method'): (bufferedoutputstream, called automatically, close())""]"
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.","[""('class', 'containment', 'class'): (bufferedreader, subclass of, reader)""]"
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.","[""('class', 'method', 'method'): (bufferedreader, has a method, read())""]"
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"[""('class', 'containment', 'method'): (bufferedreader, includes, readline())""]"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"[""('class', 'method', 'method'): (bufferedwriter, flushes data to, flush())""]"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"[""('method', 'method', 'class'): (mark(), sets an internal mark, bytearrayinputstream)""]"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","[""('class', 'containment', 'class'): (bytearrayoutputstream, subclass of, outputstream)"", ""('class', 'method', 'method'): (bytearrayoutputstream, write bytes using, write)"", ""('class', 'method', 'method'): (outputstream, has write methods like, write)""]"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.","[""('class', 'method', 'method'): (bytearrayoutputstream, to obtain all the bytes written, tobytearray())""]"
You can read a Java float from the DataInputStream using its readFloat() method.,"[""('class', 'method', 'method'): (datainputstream, uses, readfloat())""]"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"[""('class', 'method', 'method'): (datainputstream, utilizes, readunsignedshort())""]"
You can read a Java long from the DataInputStream using its readLong() method.,"[""('class', 'method', 'method'): (datainputstream, uses, readlong())""]"
"To rename (or move) a file, call the method renameTo() on the File class.","[""('class', 'method', 'method'): (file, call the method, renameto())""]"
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"[""('method', 'equivalence', 'method'): (file.list(), interchangeable, file.listfiles())""]"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"[""('method', 'method', 'method'): (list(), listing all files in a directory, listfiles())""]"
To write data to a Java FileOutputStream you can use its write() method.,"[""('class', 'method', 'method'): (fileoutputstream, use, write())""]"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"[""('class', 'method', 'method'): (fileoutputstream, writing data using, write())""]"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"[""('class', 'method', 'method'): (fileoutputstream, calling, close())""]"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"[""('class', 'conversion', 'class'): (fileoutputstream, convert to, outputstreamwriter)""]"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"[""('class', 'method', 'method'): (filewriter, flushes data to, flush())""]"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"[""('method', 'method', 'class'): (flush(), calling, filewriter)""]"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"[""('method', 'method', 'class'): (close(), method call, filewriter)""]"
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"[""('class', 'containment', 'method'): (inputstream, contains, readallbytes())""]"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"[""('method', 'method', 'class'): (readallbytes(), reading all bytes from, inputstream)""]"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","[""('class', 'method', 'method'): (inputstream, supports, mark())"", ""('class', 'method', 'method'): (inputstream, supports, reset())"", ""('class', 'method', 'method'): (inputstream, override, marksupported())""]"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"[""('class', 'method', 'method'): (inputstreamreader, hasmethod, read())""]"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"[""('class', 'method', 'method'): (chararraywriter, has_method, close())""]"
"Like with FilterInputStream, I see no sensible purpose for this class.",[]
They make it somewhat easier to understand what the classes are targeting.,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"[""('class', 'method', 'method'): (pipedreader, utilizes, read())"", ""('class', 'containment', 'method'): (pipedreader, includes, read())""]"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.","[""('method', 'method', 'class'): (printf(), calls, printwriter)""]"
Closing a Java StringReader can be done using the close() method like this:,"[""('class', 'method', 'method'): (stringreader, can be done using, close())""]"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"[""('class', 'method', 'method'): (outputstream, flushes data, flush())""]"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"[""('class', 'method', 'method'): (outputstreamwriter, flushes data to, flush())""]"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.","[""('class', 'method', 'method'): (pushbackinputstream, utilizes, read())""]"
