The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'modification', 'class'): (collections.reverse(), reverse the elements, list)""]"
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","[""('method', 'collaboration', 'class'): (hashcode(), used when storing and looking up objects in, hashtable)"", ""('method', 'collaboration', 'class'): (equals(), used when storing and looking up objects in, hashtable)""]"
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.","[""('method', 'collaboration', 'class'): (for-each, iterate, list)"", ""('method', 'collaboration', 'method'): (for-each, print out, tostring())""]"
Here is an example of iterating the elements of an Iterable via its forEach() method:,"[""('method', 'collaboration', 'interface'): (foreach(), iterating the elements, iterable)""]"
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","[""('method', 'creation', 'class'): (iterator(), create, iterator)""]"
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.","[""('interface', 'verification', 'method'): (iterator, hasnext() method will return true, hasnext())""]"
The first three add() calls add a String instance to the end of the list.,"[""('method', 'containment', 'class'): (add(), adds to, string)""]"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.","[""('method', 'collaboration', 'interface'): (addall(), takes as parameter, collection)"", ""('method', 'collaboration', 'interface'): (addall(), pass as parameter, list)"", ""('method', 'collaboration', 'interface'): (addall(), pass as parameter, set)""]"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).",[]
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","[""('class', 'containment', 'method'): (map, stores values using keys, getordefault())""]"
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"[""('class', 'containment', 'class'): (map, does not contain, string)"", ""('class', 'collaboration', 'method'): (map, getordefault() method, getordefault())"", ""('class', 'containment', 'method'): (string, default value, getordefault())""]"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).","[""('interface', 'containment', 'class'): (iterator, returns every key stored in, map)""]"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"[""('class', 'containment', 'method'): (map, number of entries, size())""]"
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"[""('method', 'collaboration', 'class'): (isempty(), return, map)""]"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"[""('class', 'implementation', 'interface'): (treemap, implements, navigablemap)""]"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.","[""('interface', 'containment', 'interface'): (sortedmap, reference, navigablemap)"", ""('interface', 'containment', 'method'): (sortedmap, containing, tailmap())"", ""('interface', 'containment', 'method'): (navigablemap, for, tailmap())""]"
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"[""('interface', 'containment', 'method'): (navigablemap, includes, lowerentry())""]"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.","[""('interface', 'containment', 'method'): (navigablemap, includes, pollfirstentry())""]"
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","[""('method', 'collaboration', 'interface'): (descendingiterator(), iterate the elements of, navigableset)"", ""('method', 'collaboration', 'interface'): (descendingiterator(), iterate the elements of, sortedset)""]"
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","[""('class', 'access', 'method'): (properties, use the getproperty() method, getproperty())""]"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","[""('class', 'collaboration', 'class'): (inputstream, load the file into, properties)"", ""('class', 'collaboration', 'method'): (inputstream, using, load())"", ""('class', 'collaboration', 'method'): (inputstream, using, loadfromxml())"", ""('class', 'collaboration', 'method'): (properties, using, load())"", ""('class', 'collaboration', 'method'): (properties, using, loadfromxml())""]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"[""('method', 'similarity', 'method'): (poll(), taking an element from a java queue, remove())""]"
You can check if a Java Queue contains a certain element via its contains() method.,"[""('interface', 'containment', 'method'): (queue, contains, contains())""]"
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"[""('interface', 'containment', 'method'): (set, includes, removeall())""]"
You can check the size of a Java Set using the size() method.,"[""('class', 'containment', 'method'): (set, includes, size())""]"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:","[""('interface', 'containment', 'method'): (sortedmap, includes, keyset())""]"
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"[""('interface', 'containment', 'method'): (sortedmap, includes, headmap())""]"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"[""('interface', 'containment', 'method'): (sortedmap, obtaining a submap via submap() method, submap())""]"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"[""('class', 'implementation', 'interface'): (java.util.treeset, implementation of, java.util.sortedset)""]"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","[""('interface', 'replacement', 'interface'): (enumeration, superseded by, iterator)""]"
You push elements onto a Java Stack using its push() method.,"[""('class', 'collaboration', 'method'): (stack, use, push())""]"
Here is an example of obtaining the size of a Java Stack via its size() method:,"[""('class', 'collaboration', 'method'): (stack, obtaining the size via, size())""]"
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"[""('class', 'containment', 'method'): (readwritelock, includes, lockwrite())""]"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"[""('class', 'containment', 'method'): (boundedsemaphore, has, take())"", ""('class', 'containment', 'method'): (boundedsemaphore, has, release())""]"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"[""('method', 'implementation', 'class'): (lock(), implement, atomicboolean)""]"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","[""('method', 'interruption', 'interface'): (stop(), stopping, runnable)"", ""('method', 'interruption', 'interface'): (pause(), interrupting, runnable)""]"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","[""('method', 'collaboration', 'method'): (parent.addchild, calls, child.setparent)""]"
"Here are the two classes used in the example above, Counter and CounterThread.","[""('class', 'containment', 'class'): (counter, used in the example above, counterthread)""]"
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.","[""('class', 'creation', 'class'): (threadlocal, create an anonymous subclass, threadlocal)""]"
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","[""('class', 'creation', 'method'): (threadlocal, creating, withinitial())""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"[""('method', 'containment', 'class'): (getthreadlocalsimpledateformat(), obtain, simpledateformat)""]"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:","[""('class', 'replacement', 'class'): (counter, using a lock instead of a synchronized block, lock)""]"
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","[""('method', 'dependency', 'method'): (lock(), is parked waiting, wait())""]"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().",[]
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.","[""('method', 'access', 'class'): (unlock(), unlocks, lock)""]"
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","[""('method', 'collaboration', 'method'): (wait(), call, notify())""]"
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"[""('class', 'containment', 'method'): (synchronizedcounter, contains, inc())"", ""('class', 'containment', 'method'): (synchronizedcounter, contains, count())""]"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","[""('class', 'containment', 'class'): (java.util.concurrent.atomic.atomicstampedreference, includes, java.util.concurrent.atomic.atomicboolean)"", ""('class', 'creation', 'method'): (java.util.concurrent.atomic.atomicboolean, instantiation, java.util.concurrent.atomic.atomicboolean())"", ""('class', 'creation', 'method'): (java.util.concurrent.atomic.atomicstampedreference, instantiation, java.util.concurrent.atomic.atomicstampedreference())""]"
Here is how the lockRead() and unlockRead() methods looks after that change:,"[""('method', 'collaboration', 'method'): (lockread(), methods looks after that change, unlockread())""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"[""('method', 'collaboration', 'method'): (lockwrite(), methods look after that change, unlockwrite())""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.","[""('package', 'containment', 'class'): (java.util.concurrent, includes, java.util.concurrent.semaphore)""]"
The take() method sends a signal which is stored internally in the Semaphore.,"[""('method', 'containment', 'class'): (take(), sends a signal which is stored internally in, semaphore)""]"
"That way the signal is not missed, even if doNotify() is called before doWait().","[""('method', 'dependency', 'method'): (donotify(), called before, dowait())""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","[""('class', 'containment', 'method'): (synchronizer, includes, lock())""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","[""('method', 'collaboration', 'method'): (unlock(), take the top queueobject in the queue and call donotify() on it, donotify())""]"
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","[""('method', 'collaboration', 'method'): (dowait(), call, unlock())"", ""('method', 'collaboration', 'method'): (unlock(), call, lock())""]"
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:","[""('class', 'implementation', 'interface'): (poolthreadrunnable, implements, runnable)""]"
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","[""('method', 'creation', 'class'): (add(), returns, immutablevalue)""]"
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","[""('class', 'containment', 'method'): (java.lang.object, defines, wait())"", ""('class', 'containment', 'method'): (java.lang.object, defines, notify())"", ""('class', 'containment', 'method'): (java.lang.object, defines, notifyall())""]"
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","[""('method', 'collaboration', 'method'): (wait(), must call from inside a synchronized block, notify())""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"[""('method', 'collaboration', 'method'): (notify(), use, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","[""('method', 'replacement', 'method'): (notifyall(), called instead of, notify())""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","[""('method', 'collaboration', 'class'): (compareandset(), allows you to compare the current value, atomicboolean)""]"
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'containment', 'method'): (atomicinteger, contains, compareandset())""]"
You can get the value of an AtomicInteger instance via the get() method.,"[""('class', 'access', 'method'): (atomicinteger, get the value via, get())""]"
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"[""('method', 'collaboration', 'class'): (addandget(), atomic operation, atomicintegerarray)""]"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,"[""('class', 'containment', 'class'): (javadoc, includes information about, atomicintegerarray)""]"
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","[""('class', 'containment', 'method'): (atomiclong, provides advanced atomic operations like, compareandset())""]"
You can set the value of an AtomicLong instance via the set() method.,"[""('class', 'modification', 'method'): (atomiclong, set the value, set())""]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"[""('class', 'containment', 'class'): (atomiclongarray, represents, java.util.concurrent.atomic.atomiclongarray)""]"
You can get the value of a given element using the get() method on the AtomicLongArray.,"[""('method', 'collaboration', 'class'): (get(), use, atomiclongarray)""]"
You can set the value of a given element using the set() method on the AtomicLongArray.,"[""('method', 'collaboration', 'class'): (set(), use, atomiclongarray)""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","[""('class', 'containment', 'method'): (atomicreference, includes, compareandset())""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,[]
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","[""('method', 'collaboration', 'class'): (compareandset(), use, atomicreference)"", ""('method', 'difference', 'method'): (compareandset(), not equal as in, equals())""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"[""('class', 'containment', 'method'): (atomicstampedreference, includes, getreference())""]"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"[""('class', 'containment', 'method'): (atomicstampedreference, contains, getstamp())""]"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","[""('method', 'collaboration', 'class'): (compareandset(), use, atomicstampedreference)"", ""('method', 'difference', 'method'): (compareandset(), same as, equals())""]"
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",[]
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","[""('interface', 'containment', 'interface'): (concurrentmap, inherits from, java.util.map)""]"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",[]
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","[""('class', 'containment', 'class'): (blockingqueueexample, includes, producer)"", ""('class', 'containment', 'class'): (blockingqueueexample, includes, consumer)"", ""('class', 'collaboration', 'class'): (producer, starts, consumer)""]"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"[""('interface', 'containment', 'method'): (blockingqueue, includes, add())""]"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","[""('interface', 'containment', 'method'): (blockingqueue, have space internally for, add())""]"
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"[""('method', 'collaboration', 'method'): (remove(), use, equals())"", ""('method', 'collaboration', 'interface'): (remove(), matches, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","[""('interface', 'containment', 'method'): (blockingqueue, does not contain, element())""]"
The result of that is that the call() method will return a String.,[]
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.","[""('interface', 'containment', 'interface'): (executorservice, represents, java.util.concurrent.executorservice)""]"
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","[""('interface', 'collaboration', 'interface'): (executorservice, executes, runnable)"", ""('interface', 'collaboration', 'interface'): (executorservice, executes, java.lang.runnable)""]"
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",[]
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"[""('method', 'collaboration', 'class'): (invokeall(), invokes, callable)""]"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"[""('method', 'difference', 'method'): (runnable.run(), main difference, callable.call())""]"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.","[""('interface', 'containment', 'method'): (executorservice, includes, awaittermination())""]"
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"[""('method', 'dependency', 'method'): (awaittermination(), called after, shutdown())"", ""('method', 'dependency', 'method'): (awaittermination(), called after, shutdownnow())""]"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"[""('class', 'implementation', 'interface'): (reentrantlock, use as, lock)""]"
To unlock the Lock instance you must call its unlock() method.,"[""('class', 'collaboration', 'method'): (lock, call its unlock() method, unlock())""]"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.","[""('class', 'difference', 'method'): (lock, looks different from, synchronized block)""]"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","[""('method', 'collaboration', 'method'): (calculate(), calls, add())"", ""('method', 'collaboration', 'method'): (calculate(), calls, subtract())"", ""('method', 'collaboration', 'class'): (calculate(), locks, lock)"", ""('method', 'collaboration', 'class'): (add(), locks, lock)"", ""('method', 'collaboration', 'class'): (subtract(), locks, lock)""]"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","[""('class', 'collaboration', 'method'): (lock, calling, lock())""]"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"[""('class', 'containment', 'class'): (reentrantlock, includes, lock)""]"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.","[""('class', 'containment', 'class'): (certpath, represents, java.security.cert.certpath)""]"
The CertPath getType() method returns a string telling what type of certificates (e.g.,"[""('class', 'containment', 'method'): (certpath, includes, gettype())""]"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"[""('method', 'collaboration', 'method'): (update(), takes an offset parameter extra, dofinal())""]"
Notice the call to update() and then doFinal() for these two blocks of data.,"[""('method', 'collaboration', 'method'): (update(), call to, dofinal())""]"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"[""('class', 'containment', 'class'): (keypairgenerator, includes, java.security.keypairgenerator)""]"
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"[""('class', 'creation', 'method'): (keygenerator, create, getinstance())""]"
Initializing a KeyGenerator instance is done by calling its init() method.,"[""('class', 'creation', 'method'): (keygenerator, initializing, init())""]"
Generating a key is done by calling the KeyGenerator generateKey() method.,"[""('class', 'creation', 'method'): (keygenerator, generating a key, generatekey())""]"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"[""('class', 'containment', 'class'): (keypair, includes, publickey)"", ""('class', 'access', 'method'): (keypair, access, getpublic())"", ""('method', 'access', 'class'): (getpublic(), access, publickey)""]"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"[""('method', 'access', 'class'): (getprivate(), access, privatekey)"", ""('method', 'collaboration', 'class'): (getprivate(), calling, keypair)""]"
You can create a Java KeyStore instance by calling its getInstance() method.,"[""('class', 'creation', 'method'): (java keystore, create, getinstance())""]"
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,[]
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","[""('method', 'collaboration', 'method'): (update(), calling, sign())""]"
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","[""('class', 'containment', 'class'): (java.sql.date, use with, java.sql.timestamp)""]"
Here is an example of how to create a Duration object using the between() method:,"[""('class', 'creation', 'method'): (duration, create, between())""]"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"[""('class', 'creation', 'method'): (localdatetime, creation, now())""]"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,"[""('package', 'containment', 'class'): (java 8 date time api, includes, localtime)""]"
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"[""('method', 'creation', 'class'): (of(), create, zoneid)""]"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","[""('class', 'collaboration', 'class'): (java.sql.preparedstatement, set a date, java.sql.date)"", ""('class', 'collaboration', 'class'): (java.sql.resultset, get a date, java.sql.date)""]"
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"[""('class', 'difference', 'class'): (java.sql.timestamp, difference in ability to hold nanoseconds, java.util.date)""]"
You can get and set the nanoseconds using the getNanos() and setNanos().,"[""('method', 'collaboration', 'method'): (getnanos(), use, setnanos())""]"
The Calendar class has a corresponding set() method so you can set these fields too.,"[""('class', 'containment', 'method'): (calendar, has a corresponding, set())""]"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","[""('class', 'containment', 'method'): (java.util.date, contains, gettime())""]"
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"[""('class', 'implementation', 'interface'): (java.util.date, implements, java.lang.comparable)""]"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"[""('class', 'collaboration', 'class'): (java.util.timezone, is used in conjunction with, java.util.calendar)""]"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"[""('method', 'dependency', 'class'): (readnumberfromurl(), needs to declare throwing, badurlexception)"", ""('method', 'dependency', 'class'): (readnumberfromurl(), needs to declare throwing, badnumberexception)"", ""('method', 'dependency', 'method'): (readnumberfromurl(), are thrown from, readdatafromurl())"", ""('method', 'dependency', 'method'): (readnumberfromurl(), are thrown from, converdata())""]"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"[""('method', 'dependency', 'class'): (readnumberfromurl(), declares throwing, applicationexception)""]"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.","[""('class', 'containment', 'class'): (ioexception, superclass of, filenotfoundexception)""]"
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.","[""('method', 'containment', 'class'): (close(), wrapped and rethrown, ioexception)""]"
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"[""('class', 'containment', 'method'): (throwable, has a method named, addsuppressed())""]"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"[""('method', 'modification', 'class'): (applypattern(), applies a new pattern, decimalformat)""]"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"[""('method', 'similarity', 'method'): (applylocalizedpattern(), does the same as, applypattern())"", ""('method', 'collaboration', 'class'): (applylocalizedpattern(), interprets the characters according to, locale)"", ""('method', 'dependency', 'class'): (applylocalizedpattern(), was created with, decimalformat)""]"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.","[""('class', 'creation', 'class'): (java.util.locale, specific locale, java.text.collator)""]"
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"[""('method', 'creation', 'class'): (locale.forlanguagetag(), create, locale)""]"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"[""('class', 'access', 'method'): (resourcebundle, access, getstring())"", ""('class', 'access', 'method'): (resourcebundle, access, getobject())""]"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,"[""('package', 'containment', 'class'): (i18n, includes, mybundle.properties)""]"
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"[""('class', 'creation', 'method'): (simpledateformat, created, format())"", ""('class', 'collaboration', 'method'): (simpledateformat, use, format())""]"
The Date instance passed to the format() method is a java.util.Date instance.,"[""('method', 'containment', 'class'): (format(), includes, java.util.date)""]"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","[""('class', 'conversion', 'class'): (simpledateformat, formatting, date)"", ""('class', 'conversion', 'class'): (simpledateformat, formatting, stringbuffer)""]"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"[""('class', 'collaboration', 'method'): (simpledateformat, use, parse())""]"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"[""('class', 'collaboration', 'method'): (simpledateformat, set the time zone using, settimezone())""]"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","[""('method', 'collaboration', 'method'): (marksupported(), find out if supported, mark())"", ""('method', 'collaboration', 'method'): (marksupported(), find out if supported, reset())"", ""('method', 'collaboration', 'class'): (marksupported(), call, inputstream)"", ""('method', 'collaboration', 'class'): (marksupported(), call, bufferedinputstream)"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports, mark())"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports, reset())""]"
"After that, the while loop exits, and the BufferedInputStream close() method is called.","[""('class', 'collaboration', 'method'): (bufferedinputstream, called, close())""]"
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:","[""('method', 'collaboration', 'class'): (setsource(), returns a reference to, reusablebufferedinputstream)""]"
To write data to a Java BufferedOutputStream you can use its write() method.,"[""('class', 'collaboration', 'method'): (bufferedoutputstream, use, write())""]"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"[""('class', 'collaboration', 'method'): (bufferedoutputstream, use, flush())""]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","[""('class', 'collaboration', 'method'): (bufferedoutputstream, is called automatically, close())""]"
