Original Text,NULL
"If you look at the lambda expression above, you can see that it takes a single parameter item and returns a boolean - the result of the item.startsWith(""o"") method call.","(""Item"", ""The Item class has a relationship with the StartsWith method because the method is called on an item."", ""StartsWith""); (""StartsWith"", ""The StartsWith method has a relationship with the Boolean class because it returns a boolean value."", ""Boolean"")"
"When you call the filter() method on a Stream, the filter passed as parameter to the filter() method is stored internally.","(""Stream"", ""The Stream class has a method called filter(), indicating a relationship between the two."", ""filter()""); (""filter()"", ""The filter() method takes a filter as a parameter, indicating a relationship between the filter() method and the filter."", ""filter"")"
"The parameter passed to the filter() function determines what items in the stream should be processed, and which that should be excluded from the processing.","(""Filter"", ""The Filter method uses a Parameter to determine which items to process."", ""Parameter""); (""Filter"", ""The Filter method is used to process items in a Stream."", ""Stream"")"
"If the Predicate.test() method of the parameter passed to filter() returns true for an item, that means it should be processed.","(""Predicate"", ""The Predicate class has a test method, indicating a relationship between the class and its method."", ""test""); (""filter"", ""The filter method uses the Predicate class, indicating a relationship between the filter method and the Predicate class."", ""Predicate"")"
The collect() method is one of the stream processing methods on the Stream interface.,NULL
"The min() and max() methods return an Optional instance which has a get() method on, which you use to obtain the value.","(""Min"", ""The min() method returns an Optional instance"", ""Optional""); (""Max"", ""The max() method returns an Optional instance"", ""Optional""); (""Get"", ""The get() method is used on an Optional instance"", ""Optional""); (""Min"", ""The get() method is used to obtain the value returned by the min() method"", ""Get"")"
In case the stream has no elements the get() method will return null.,NULL
The Comparator.comparing() method creates a Comparator based on the lambda expression passed to it.,NULL
"In fact, the comparing() method takes a Function which is a functional interface suited for lambda expressions.",NULL
The count() method simply returns the number of elements in the stream after filtering has been applied.,NULL
The count() method returns a long which is the count of elements in the stream after filtering etc.,NULL
The reduce() method can reduce the elements of a stream to a single value.,NULL
"The reduce() method takes a BinaryOperator as parameter, which can easily be implemented using a lambda expression.",NULL
The BinaryOperator.apply() method is the method implemented by the lambda expression above.,NULL
"Thus, the value created by the reduce() function is the accumulated value after processing the last element in the stream.",NULL
The reduce() method taking a BinaryOperator as parameter returns an Optional .,"(""Reduce"", ""The reduce() method takes a BinaryOperator as a parameter, indicating a relationship between the two."", ""BinaryOperator"")"
"In case the stream contains no elements, the Optional.get() returns null.","(""Optional"", ""The Optional class contains the get method"", ""get"")"
"This version of the reduce() method returns the accumulated value directly, and not an Optional.",NULL
The reduce() method can be combined with the filter() method too.,NULL
"The Java Collections class, java.util.Collections, contains a long list of utility methods for working with collections in Java.","(""java.util.Collections"", ""java.util.Collections is a part of the java.util package"", ""java.util""); (""Java Collections"", ""Java Collections is another name for the java.util.Collections class"", ""java.util.Collections""); (""java.util.Collections"", ""java.util.Collections contains a list of utility methods"", ""utility methods"")"
The Java Collections addAll() method can add a variable number of elements to a Collection (typically either a List or a Set .,"(""Java Collections"", ""The Java Collections package contains the addAll() method"", ""addAll()""); (""addAll()"", ""The addAll() method can add elements to a Collection"", ""Collection""); (""Collection"", ""A Collection can be a List"", ""List"")"
Here is a java code example of calling the Collections addAll() method:,NULL
The Collections binarySearch() method can search a Java List for an element using a binary search algorithm.,"(""Collections"", ""The binarySearch() method is part of the Collections class"", ""binarySearch()""); (""binarySearch()"", ""The binarySearch() method can search a Java List for an element"", ""List""); (""Java"", ""List is a part of the Java package"", ""List"")"
The List must be sorted in ascending order before you search it using binarySearch() .,NULL
Here is an example of searching a List using the Collections binarySearch() method:,"(""Collections"", ""The binarySearch() method is part of the Collections class, indicating a clear relationship between the two entities."", ""binarySearch()""); (""List"", ""The binarySearch() method is used to search a List, indicating a clear relationship between the two entities."", ""binarySearch()"")"
The Collections copy() method can copy all elements of a List into another List.,"(""Collections"", ""The copy() method is part of the Collections class"", ""copy()""); (""copy()"", ""The copy() method can copy all elements of a List into another List"", ""List"")"
Here is a Java example of calling the Collections copy() method:,NULL
The Collections reverse() method can reverse the elements in a Java List.,"(""Collections"", ""The reverse() method is part of the Collections class"", ""reverse()""); (""reverse()"", ""The reverse() method can reverse the elements in a Java List"", ""List""); (""Collections"", ""The Collections class has a method that can operate on a List"", ""List""); (""Java"", ""List is a part of the Java package"", ""List"")"
The Collections shuffle() method can shuffle the elements of a List.,"(""Collections"", ""The shuffle() method is part of the Collections class"", ""shuffle()""); (""shuffle()"", ""The shuffle() method can shuffle the elements of a List"", ""List"")"
Here is an example of shuffling a list with the Collections shuffle() method:,NULL
Here is an example of sorting a Java List using Collections sort() method:,"(""Collections"", ""The Collections class contains the sort() method, indicating a clear relationship between the two entities as the method is part of the class."", ""sort()""); (""List"", ""The List class is related to the Collections class because the Collections class provides methods, such as sort(), that can be used with List objects."", ""Collections"")"
The Java Collections copy() method can copy one List into another.,"(""Java Collections"", ""The copy() method is part of the Java Collections package."", ""copy()""); (""copy()"", ""The copy() method can copy one List into another, indicating a relationship between the method and the List class."", ""List"")"
You provide the source and destination List instances as parameters to the copy() method.,"(""copy()"", ""The copy() method is related to the List class because it is called on List instances."", ""List"")"
The Collections min() method can find the minimum element in a List according to the natural ordering of the elements (see my Java List sorting tutorial).,"(""Collections"", ""The min() method is part of the Collections class"", ""min()""); (""Collections"", ""The Collections class can operate on a List, such as finding the minimum element"", ""List"")"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""The Collections class contains the min() method, indicating a clear relationship between the two entities as the method is part of the class."", ""min()""); (""Java"", ""The Java package contains the List class, indicating a clear relationship between the two entities as the class is part of the package."", ""List""); (""Java"", ""The Java package contains the Collections class, indicating a clear relationship between the two entities as the class is part of the package."", ""Collections""); (""List"", ""The List class is related to the min() method as the method can be used to find the minimum element in a List, indicating a clear functional relationship between the two entities."", ""min()"")"
The Collections max() method can find the maximum element in a List according to the natural order of the elements (see my Java List sorting tutorial).,"(""Collections"", ""The max() method is part of the Collections class"", ""max()""); (""Collections"", ""The Collections class can operate on a List, as seen with the max() method"", ""List"")"
The Java Collections replaceAll() method can replace all occurrences of one element with another element.,NULL
You pass the element to replace and the element to replace it with as parameters to the replaceAll() method.,"(""ReplaceAll"", ""The ReplaceAll method is related to the Element because it takes an element as a parameter to replace."", ""Element"")"
"The Collections replaceAll() method returns true if any elements were replaced, and false if not.",NULL
The Collections replaceAll() method uses the equals() method of each element to determine if the element is equal to the element to replace or not.,"(""Collections"", ""The Collections class contains the replaceAll() method, indicating a relationship between the class and the method."", ""replaceAll()"")"
I have a written a few more details about how the equals() method works in my section about the Java equals() method.,NULL
The unmodifiableSet() method in the Java Collections class can create an immutable (unmodifiable) Set from a normal Java Set .,"(""Java Collections"", ""The unmodifiableSet() method is part of the Java Collections class, indicating a relationship between the two."", ""unmodifiableSet()""); (""unmodifiableSet()"", ""The unmodifiableSet() method creates an immutable Set, indicating a relationship between the method and the Set class."", ""Set"")"
"The Java Comparable interface,java.lang.Comparable, represents an object which can be compared to other objects.","(""java.lang"", ""java.lang is a package that contains the java.lang.Comparable class"", ""java.lang.Comparable""); (""Java"", ""The Java language has a Comparable interface"", ""Comparable"")"
Several of the built-in classes in Java implements the Java Comparable interface.,"(""Java"", ""Java is related to Comparable because Java has built-in classes that implement the Comparable interface"", ""Comparable""); (""Java"", ""Java is related to itself as it is mentioned that Java has built-in classes"", ""Java"")"
"You can also implement the Java Comparable interface yourself, to make your own classes comparable.","(""Java"", ""Java is related to Comparable because the Java language can be used to implement the Comparable interface"", ""Comparable"")"
"When a class implements the Java Comparable interface, this means that instances (objects) of that class can be compared to each other, as mentioned above.",NULL
Please keep in mind that the Comparable interface is intended for comparison of objects of the same class.,"(""Comparable"", ""The Comparable interface is intended for comparison of objects of the same class, indicating a relationship between the Comparable interface and objects of the same class."", ""objects"")"
In the following section I will explain how the compareTo() method works.,NULL
The Java Comparable compareTo() method takes a single object as parameter and returns an int value.,NULL
"The int returned signal whether the object the compareTo() method is called on is larger than, equal to or smaller than the parameter object.","(""CompareTo"", ""The compareTo method is called on an object, indicating a relationship between the two."", ""Object"")"
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","(""Integer"", ""The Integer class implements the Comparable interface, indicating a relationship between the two."", ""Comparable""); (""Integer"", ""The compareTo method is called on the Integer class, indicating a relationship between the two."", ""compareTo"")"
Since the value 45 is smaller than 99 - the first comparison ( valA.compareTo(valB) = 45.compareTo(99) ) results in the value -1 being returned.,"(""ValA"", ""ValA uses the CompareTo method to compare its value with ValB"", ""CompareTo""); (""ValB"", ""ValB is compared with ValA using the CompareTo method"", ""CompareTo""); (""CompareTo"", ""The CompareTo method is used by ValA to determine its relationship with ValB"", ""ValA"")"
"In the second comparison, when 99 is compared to 45 ( valB.compareTo(valA) = 99.compareTo(45) ) the result is 1 - because 99 is larger than 45.","(""ValB"", ""ValB uses the CompareTo method to compare values"", ""CompareTo""); (""ValA"", ""ValA uses the CompareTo method to compare values"", ""CompareTo"")"
Here is an example of a Spaceship class which can compare itself to other Spaceship instances:,NULL
This way you can implement compareTo() to compare base on multiple factors.,NULL
"By specifying a type parameter when implementing the Comparable interface, the compareTo() method parameter changes from Object to whatever type you have specified.","(""Comparable"", ""The compareTo() method is part of the Comparable interface, indicating a clear relationship between the two entities."", ""compareTo()""); (""compareTo()"", ""The compareTo() method parameter is of type Object by default, indicating a relationship between the compareTo() method and the Object class."", ""Object"")"
"Notice how there is no type parameter specified after the ""implements Comparable"" interface in the class declaration.",NULL
"Notice also, how the parameter type of the compareTo() object is no longer Spaceship, but Object.","(""CompareTo"", ""The compareTo method is related to the Object class because it takes an Object as a parameter."", ""Object"")"
"Finally, also notice how it is now necessary to cast the parameter of the compareTo() method to Spaceship explicitly.",NULL
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",NULL
"Similarly, the compareTo() method should throw a ClassCastException if the input parameter is not of the same class as the class of the object compareTo() is called on.","(""CompareTo"", ""The compareTo() method throws a ClassCastException, indicating a relationship between the two."", ""ClassCastException""); (""CompareTo"", ""The compareTo() method takes an input parameter, establishing a relationship between the method and the parameter."", ""Input Parameter"")"
You can just cast to the desired class (as in the example above).,NULL
"If the classes do not match, the Java VM will throw a ClassCastException.","(""Java VM"", ""The Java VM throws a ClassCastException, indicating a relationship between the two entities as the Java VM is the source that throws the exception."", ""ClassCastException""); (""Class"", ""A ClassCastException is thrown when the classes do not match, indicating a relationship between classes and the exception."", ""ClassCastException"")"
"The Java Comparator interface, java.util.Comparator, represents a component that can compare two objects so they can be sorted using sorting functionality in Java.","(""Java Comparator"", ""The Java Comparator interface is represented by the java.util.Comparator package, indicating a clear relationship between the two entities."", ""java.util.Comparator""); (""Java Comparator"", ""The Java Comparator interface uses the compare method to compare two objects, indicating a clear relationship between the two entities."", ""compare"")"
When sorting e.g a Java List you can pass a Java Comparator to the sorting method.,"(""List"", ""The List class is related to the sorting method because it is the object being sorted."", ""sorting""); (""Comparator"", ""The Comparator class is related to the sorting method because it is used to define the sorting order."", ""sorting"")"
"This method, the compare() method, takes two objects which the Comparator implementation is intended to compare.",NULL
The compare() method returns an int which signals which of the two objects was larger.,NULL
Imagine you have the following Spaceship class that you would like to be able to compare instances of:,NULL
"Notice that the Spaceship class already implements the Comparable interface which compares Spaceship objects on spaceshipClass first, and then registrationNo.","(""Spaceship"", ""The Spaceship class implements the Comparable interface, indicating a relationship between the two entities."", ""Comparable""); (""Spaceship"", ""The spaceshipClass is used to compare Spaceship objects, indicating that spaceshipClass is a method or attribute of the Spaceship class."", ""spaceshipClass"")"
"First, notice how the SpaceshipComparator class implements the Comparator interface with the type Spaceship specified inside the < > characters ( implements Comparator<Spaceship> ).","(""SpaceshipComparator"", ""SpaceshipComparator implements Comparator, indicating a relationship between the two entities where SpaceshipComparator is a subclass or implementation of Comparator"", ""Comparator""); (""SpaceshipComparator"", ""SpaceshipComparator implements Comparator with the type Spaceship specified, indicating a relationship between SpaceshipComparator and Spaceship where Spaceship is the type being compared by SpaceshipComparator"", ""Spaceship"")"
"Setting the generic type of the Comparator implementation to Spaceship means that the parameter types of the compare() method can be set to Spaceship, and not Object as it would have been - if no generic type had been specified ( implements Comparator ).","(""Comparator"", ""The Comparator class contains the compare() method, indicating a relationship between the two entities as the compare() method is a part of the Comparator class."", ""compare()""); (""Comparator"", ""The Comparator class is related to the Spaceship class because the generic type of the Comparator implementation is set to Spaceship, indicating that the Comparator is used to compare Spaceship objects."", ""Spaceship"")"
"A Java Comparator implementation is pretty much always specialized to be able to compare objects of a specific type (class), so specifying a generic type in your Comparator implementation almost always makes sense.","(""Comparator implementation"", ""A Java Comparator implementation is a specific type of class that is used for comparing objects, thus they are related"", ""Java""); (""Comparator"", ""Comparator is a class that has an implementation, thus they are related"", ""Comparator implementation"")"
"Second, notice how the compare() method returns the registrationNo of the first Spaceship parameter compared to the registrationNo of the second Spaceship parameter.","(""Compare"", ""The compare method is related to the Spaceship class because it compares the registrationNo of two Spaceship parameters."", ""Spaceship""); (""Compare"", ""The compare method is related to the registrationNo method because it returns the registrationNo of the first Spaceship parameter compared to the registrationNo of the second Spaceship parameter."", ""RegistrationNo"")"
"Imagine if the registrationNo variable of the Spaceship class was an int instead, so getRegistrationNo() would return an int.","(""Spaceship"", ""The getRegistrationNo() method is related to the Spaceship class because it is mentioned as a method that would return an int if the registrationNo variable of the Spaceship class was an int."", ""getRegistrationNo()""); (""Spaceship"", ""The Spaceship class is related to the registrationNo variable because it is mentioned as having a registrationNo variable."", ""registrationNo"")"
"The Java Deque interface, java.util.Deque, represents a double ended queue, meaning a queue where you can add and remove elements to and from both ends of the queue.",NULL
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""LinkedList is a Deque implementation"", ""Deque"")"
The Java ArrayDeque class stores its elements internally in an array.,"(""ArrayDeque"", ""The ArrayDeque class stores its elements internally in an array, indicating a relationship between ArrayDeque and array."", ""array"")"
Before you can use a Java Deque you must create an instance of one of the classes that implements the Deque interface.,NULL
You add elements to the beginning end of a Deque using the add() method.,NULL
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",NULL
"This is different from the offer() method, which will return false if it cannot insert the element.",NULL
The addLast() method also adds an element to the end (tail) of a Java Deque.,NULL
This is the Deque interface's equivalent of the add() method inherited from the Queue interface.,"(""Deque"", ""The Deque interface has an equivalent of the add() method, indicating a relationship between the Deque class and the add() method."", ""add()""); (""Queue"", ""The add() method is inherited from the Queue interface, indicating a relationship between the Queue class and the add() method."", ""add()"")"
Here is an example of adding an element to a Java Deque instance using the addLast() method:,"(""Deque"", ""The Deque class has a method called addLast(), indicating a relationship between the Deque class and the addLast() method."", ""addLast()""); (""Java"", ""The Deque class is part of the Java package, indicating a relationship between the Java package and the Deque class."", ""Deque"")"
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",NULL
This is different from the offerLast() method which will return false if the element cannot be added to the Deque.,NULL
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,NULL
"If the element cannot be added to the beginning of the Deque, the addFirst() method will throw an exception.",NULL
This is different from the offerFirst() method which will return false if an element cannot be inserted in the beginning of the Deque.,NULL
The offer() method adds an element to the end (tail) of the Deque.,NULL
This is different from the add() method which will throw an exception is adding an element to the end of the Deque fails.,NULL
Here is an example of how to add an element to the end of a Java Deque using the offer() method:,NULL
"The offerLast() method adds an element to the end (tail) of the Deque, just like offer().","(""OfferLast"", ""The offerLast() method adds an element to the end (tail) of the Deque"", ""Deque"")"
The method name offerLast() is just a bit more saying about where the element is added to the Deque.,NULL
This is different from the addLast() method which will throw an exception is adding an element to the end of the Deque fails.,NULL
Here is an example of how to add an element to the end of a Java Deque using the offerLast() method:,NULL
The offerFirst() method adds an element to the beginning (head) of the Deque.,NULL
This is different from the addFirst() method which will throw an exception is adding an element to the beginning of the Deque fails.,NULL
Here is an example of how to add an element to the beginning of a Java Deque using the offerFirst() method:,NULL
The push() method adds an element to the beginning (head) of a Java Deque method.,NULL
"If adding the element fails, for instance if the Deque is full, the push() method will throw an exception.","(""Deque"", ""The Deque class has a method called push(), indicating a relationship between the two."", ""push()""); (""push()"", ""The push() method is related to the exception class because it throws an exception when the Deque is full, indicating a cause-and-effect relationship between the two."", ""exception"")"
Here is an example of adding an element to the beginning of a Java Deque using the push() method:,"(""Deque"", ""The push method is used in the context of the Deque class, indicating a relationship between the two as the push method is a part of the Deque's functionality."", ""push""); (""Java"", ""The Deque class is part of the Java package, indicating a relationship between the two as Deque is a component of Java's collections framework."", ""Deque"")"
The peek() method returns the first element from the beginning (head) of a Java Deque without removing it.,"(""Peek"", ""The peek() method operates on a Java Deque, indicating a relationship between the two."", ""Java Deque""); (""Java Deque"", ""Java Deque is a part of the Java package, indicating a relationship between the two."", ""Java"")"
Here is an example of peeking at the first element of a Java Deque using the peek() method:,"(""Deque"", ""The Deque class has a method called peek, which suggests a relationship between the two entities as the peek method is used in conjunction with the Deque class."", ""peek""); (""Java"", ""The Java package is related to the Deque class as Deque is a part of the Java package, specifically the java.util package."", ""Deque"")"
The peekFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,NULL
"This is similar to how peek() works, but the method name peekFirst() is a bit more saying about which end of the Deque you peek at.","(""Peek"", ""Peek and Peekfirst are related as they are both methods that seem to have similar functionality, with Peekfirst being more specific about the end of the Deque it is peeking at."", ""Peekfirst""); (""Peekfirst"", ""Peekfirst is a method that is used in relation to the Deque class, as it is used to peek at one end of the Deque."", ""Deque"")"
Here is an example of peeking at the first element of a Java Deque using the peekFirst() method:,NULL
To peek at the last element of a Java Deque you can use the peekLast() method.,NULL
Here is an example of peeking at the last element of a Java Deque using the peekLast() method:,NULL
The getFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,NULL
Here is an example of peeking at the first element of a Java Deque using the getFirst() method:,NULL
To peek at the last element of a Java Deque you can use the getLast() method.,NULL
Here is an example of peeking at the last element of a Java Deque using the getLast() method:,"(""Deque"", ""The getLast method is used in conjunction with the Deque class to retrieve the last element."", ""getLast""); (""Java"", ""The Deque class is part of the Java package, indicating a relationship between the two."", ""Deque"")"
The remove() method removes the first element of a Java Deque.,NULL
The remove() method returns the element that is removed from the Deque.,NULL
Here is an example of removing the first element a Java Deque using the remove() method:,"(""Deque"", ""The Deque class has a relationship with the remove() method because the remove() method is used to remove the first element from a Java Deque."", ""remove()""); (""Java"", ""The Java package has a relationship with the Deque class because Deque is a part of the Java package."", ""Deque"")"
This is different from poll() which returns null if the Deque is empty.,NULL
The removeFirst() method also removes the first element from a Deque - the element at the head of the Deque.,NULL
Here is an example of removing the first element of a Java Deque using the removeFirst() method:,NULL
This is different from pollFirst() which returns null if the Deque is empty.,NULL
The removeLast() method removes the last element of a Deque - meaning the element at the tail of the Deque.,NULL
Here is an example of removing the last element of a Java Deque using the removeLast() method:,NULL
After running this Java example the removedElement variable will point to the String object element 2 - since that element was the last element of the Deque when removeLast() was called.,"(""RemovedElement"", ""The removedElement variable is related to the Deque because it points to the String object that was removed from the Deque when removeLast() was called."", ""Deque""); (""RemoveLast"", ""The removeLast() method is related to the Deque because it is a method that operates on the Deque, specifically removing the last element from it."", ""Deque"")"
This is different from pollLast() which returns null if the Deque is empty.,NULL
The poll() method removes an element from the beginning of the Deque.,NULL
This is different than remove() which throws an exception if the Deque is empty.,NULL
Here is an example of removing the first element from a Java Deque using the poll() method:,"(""Deque"", ""The poll() method is used in conjunction with the Deque class to remove the first element."", ""poll()""); (""Java"", ""The Deque class is part of the Java package."", ""Deque"")"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","(""PollFirst"", ""The pollFirst() method is related to the Deque class because it operates on the Deque, removing an element from its beginning."", ""Deque""); (""Poll"", ""The poll() method is related to the Deque class because it is compared to pollFirst() which operates on the Deque, implying that poll() also operates on the Deque."", ""Deque"")"
The method name pollFirst() is just a bit more saying about from where the method removes elements.,NULL
This is different than removeFirst() which throws an exception if the Deque is empty.,NULL
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,NULL
The pollLast() method removes an element from the end (tail) of the Deque.,NULL
This is different than removeLast() which throws an exception if the Deque is empty.,NULL
Here is an example of removing the last element from a Java Deque using the pollLast() method:,NULL
The pop() method removes an element from the beginning (head) of a Java Deque.,NULL
"If removing the element fails, for instance if the Deque is empty, the pop() method will throw an exception.","(""Deque"", ""The Deque class has a method called pop(), indicating a relationship between the two."", ""pop()""); (""pop()"", ""The pop() method is related to the exception class because it throws an exception when the Deque is empty, indicating a cause-and-effect relationship between the two."", ""exception"")"
Here is an example of removing the first element from a Java Deque using the pop() method:,"(""Deque"", ""The Deque class has a relationship with the pop method because the pop method is used to remove the first element from a Deque."", ""pop""); (""Java"", ""The Java package has a relationship with the Deque class because Deque is a part of the Java package."", ""Deque"")"
You can use the Java Deque contains() method to check if a Deque contains a given element.,"(""Deque"", ""The Deque class has a contains() method, indicating a relationship between the two."", ""contains()""); (""Java"", ""The Deque class is part of the Java package, indicating a relationship between the two."", ""Deque"")"
"The contains() method will return true if the Deque contains the element, and false if not.",NULL
Here is an example of checking if a Java Deque contains a specific element using the contains() method:,"(""Deque"", ""The Deque class has a relationship with the contains() method because the contains() method is used to check if a specific element is present in a Deque object."", ""contains()""); (""Java"", ""The Java package has a relationship with the Deque class because Deque is a part of the Java package."", ""Deque"")"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,NULL
Here is an example of obtaining the number of elements in a Java Deque using its size() method:,NULL
After running this code the size variable will contain the value 2 because the Deque contains 2 element at the time size() is called.,"(""Deque"", ""The Deque class has a method called size() that returns the number of elements in the Deque."", ""size()""); (""size"", ""The size variable is related to the size() method because the size variable will contain the value returned by the size() method."", ""size()"")"
"When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.","(""Java collection"", ""The Java collection returns an Iterator when the iterator() method is called."", ""Iterator""); (""iterator()"", ""The iterator() method returns an Iterator."", ""Iterator"")"
Notice how it is not necessary to cast the String returned from the iterator.next() method call.,NULL
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","(""Iterator"", ""The Iterator class has a method called next(), indicating a relationship between the two."", ""next()""); (""next()"", ""The next() method returns a String, indicating a relationship between the method and the class."", ""String""); (""Iterator"", ""The Iterator has its generic type set to String, indicating a relationship between the class and the type."", ""String""); (""Java"", ""The Java compiler is aware of the Iterator class, indicating a relationship between the package and the class."", ""Iterator""); (""Java"", ""The Java compiler is aware of the String class, indicating a relationship between the package and the class."", ""String"")"
The methods hashCode() and equals() play a distinct role in the objects you insert into Java collections.,"(""HashCode"", ""HashCode method is used in Java Collections"", ""Java Collections"")"
equals() is used in most collections to determine if a collection contains a given element.,NULL
"The ArrayList iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".","(""ArrayList"", ""The ArrayList class uses the equals method to compare elements."", ""equals"")"
It is the String.equals() implementation that determines if two strings are equal.,NULL
"The ArrayList again iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".","(""ArrayList"", ""The ArrayList class uses the equals method to compare elements."", ""equals"")"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.","(""Java Collection"", ""The Java Collection class is related to the .equals() method because a proper implementation of .equals() is essential for classes to work well with the Java Collection classes."", "".equals()"")"
"That depends on your application, the classes, and what you are trying to do.",NULL
"The hashCode() method of objects is used when you insert them into a HashTable, HashMap or HashSet.","(""hashCode()"", ""The hashCode() method is used when you insert objects into a HashTable"", ""HashTable""); (""hashCode()"", ""The hashCode() method is used when you insert objects into a HashMap"", ""HashMap"")"
"If you do not know the theory of how a hashtable works internally, you can read about hastables on Wikipedia.org.",NULL
The hashtable then iterates this area (all keys with the same hash code) and uses the key's equals() method to find the right key.,"(""Hashtable"", ""The hashtable contains keys, so it is related to the Key class."", ""Key""); (""Key"", ""The key uses the equals() method to find the right key, so the Key class is related to the equals() method."", ""Equals()"")"
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","(""Hashcode"", ""The Hashcode method is used when storing objects in a Hashtable"", ""Hashtable""); (""Equals"", ""The Equals method is used when looking up objects in a Hashtable"", ""Hashtable"")"
"Here are two rules that are good to know about implementing the hashCode() method in your own classes, if the hashtables in the Java Collections API are to work correctly:","(""HashCode"", ""The hashCode method is related to the Java Collections API because it is used to ensure the correct functioning of hashtables in the API."", ""Java Collections API""); (""Classes"", ""The Classes entity is related to the HashCode entity because the hashCode method is implemented in classes."", ""HashCode"")"
Here are two example implementation of the hashCode() method matching the equals() methods shown earlier:,NULL
For a 100% precise description of how to implement equals() and hashCode() you should check out the official JavaDoc's.,"(""equals()"", ""They are related because they are both methods that are often implemented together in Java classes."", ""hashCode()""); (""JavaDoc"", ""JavaDoc is related to equals() because it provides a description of how to implement the equals() method."", ""equals()"")"
The purpose of this text was mostly to explain how they are used by the Java Collection classes.,NULL
