The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, reverse the elements of, list)', 'dependency: (reverse, method requires, list)']","[""('class', 'modification', 'class'): (collections, reverse the elements of, list)""]"
The first three add() calls add a String instance to the end of the list.,"['containment: (add(), inclusion, list)', 'creation: (add(), formation, string)']","[""('method', 'creation', 'class'): (add(), formation, string)""]"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.",,[]
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","['dependency: (get(), requires, string)']",[]
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","['return: (getordefault(), returns, map)']","[""('method', 'return', 'class'): (getordefault(), returns, map)""]"
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"['containment: (map, does not contain, getordefault())', 'return: (getordefault(), will be returned, map)']","[""('method', 'return', 'class'): (getordefault(), will be returned, map)""]"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).","['containment: (map, stores, key)']",[]
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,,[]
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"['containment: (map, contains, isempty())', 'return: (isempty(), return, map)']","[""('method', 'return', 'class'): (isempty(), return, map)""]"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"['inheritance: (treemap, implements, navigablemap)']",[]
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.","['containment: (sortedmap, includes_key_value_pairs_from, navigablemap)', 'dependency: (sortedmap, relies_on_keys_equal_to_or_larger_than, tailmap())', 'dependency: (navigablemap, produces_subset_based_on, tailmap())']",[]
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"['containment: (navigablemap, interface_contains_method, lowerentry())', 'return: (lowerentry(), method_returns_key_value_pair, navigablemap)']","[""('method', 'return', 'interface'): (lowerentry(), method_returns_key_value_pair, navigablemap)""]"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.","['return: (pollfirstentry(), returns_and_removes, navigablemap)']","[""('method', 'return', 'class'): (pollfirstentry(), returns_and_removes, navigablemap)""]"
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","['traversal: (descendingiterator(), iterate the elements, navigableset)', 'inheritance: (navigableset, is also a, sortedset)']","[""('interface', 'inheritance', 'interface'): (navigableset, is also a, sortedset)""]"
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","['dependency: (properties, passing as parameter to, getproperty())']","[""('class', 'dependency', 'method'): (properties, passing as parameter to, getproperty())""]"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","['dependency: (inputstream, load_into, properties)', 'dependency: (inputstream, use_with, load())', 'dependency: (inputstream, use_with, loadfromxml())']","[""('class', 'dependency', 'class'): (inputstream, load_into, properties)"", ""('class', 'dependency', 'method'): (inputstream, use_with, load())"", ""('class', 'dependency', 'method'): (inputstream, use_with, loadfromxml())""]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"['comparison: (poll(), evaluating or contrasting characteristics with, remove())']","[""('method', 'comparison', 'method'): (poll(), evaluating or contrasting characteristics with, remove())""]"
You can check if a Java Queue contains a certain element via its contains() method.,"['containment: (queue, includes_via_contains_method, contains())']",[]
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"['dependency: (removeall, depends on presence in, another collection)']",[]
You can check the size of a Java Set using the size() method.,"['containment: (set, size, size())']",[]
"You iterate the keys of a SortedMap by calling its keySet() method, like this:","['traversal: (keyset(), iterate the keys, sortedmap)']",[]
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"['containment: (sortedmap, contains, headmap())']",[]
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"['containment: (sortedmap, inclusion, submap())']",[]
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"['containment: (java.util.treeset, implementation of, java.util.sortedset)', 'containment: (java.util.treeset, implementation of, java.util.collections)']",[]
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","['replacement: (enumeration, is superseded by, iterator)']",[]
You push elements onto a Java Stack using its push() method.,"['dependency: (stack, requires method invocation with, push())']","[""('class', 'dependency', 'method'): (stack, requires method invocation with, push())""]"
Here is an example of obtaining the size of a Java Stack via its size() method:,"['dependency: (size(), method for obtaining the size, stack)']",[]
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"['containment: (lockwrite(), method of, readwritelock)']","[""('method', 'containment', 'class'): (lockwrite(), method of, readwritelock)""]"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"['containment: (boundedsemaphore, has methods, take())', 'containment: (boundedsemaphore, has methods, release())']",[]
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"['dependency: (lock(), implementation, atomicboolean)']",[]
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","['equivalence: (stop(), alternate_method, pause())', 'dependency: (stop(), prerequisite_for_nonlambda_creation, runnable)', 'dependency: (pause(), prerequisite_for_nonlambda_creation, runnable)']","[""('method', 'equivalence', 'method'): (stop(), alternate_method, pause())""]"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","['dependency: (addchild(), simultaneous_use_with, setparent())', 'exception: (addchild(), can_cause_deadlock_with, setparent())']","[""('method', 'dependency', 'method'): (addchild(), simultaneous_use_with, setparent())""]"
"Here are the two classes used in the example above, Counter and CounterThread.","['containment: (counter, is_used_in, counterthread)', 'containment: (counterthread, includes, counter)']","[""('class', 'containment', 'class'): (counter, is_used_in, counterthread)"", ""('class', 'containment', 'class'): (counterthread, includes, counter)""]"
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.","['creation: (threadlocal, create a subclass, threadlocal())']",[]
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","['creation: (threadlocal, creating withinitial using supplier, withinitial())', 'dependency: (withinitial(), using supplier implementation, supplier)']","[""('class', 'creation', 'method'): (threadlocal, creating withinitial using supplier, withinitial())""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"['dependency: (format(), obtain, getthreadlocalsimpledateformat)', 'return: (getthreadlocalsimpledateformat, calls, simpledateformat)']",[]
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:","['replacement: (counter, using, lock)']","[""('class', 'replacement', 'class'): (counter, using, lock)""]"
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","['dependency: (islocked, condition_for_execution, lock())', 'dependency: (islocked, condition_for_execution, wait())', 'dependency: (islocked, prerequisite, thread)', 'collaboration: (lock(), interacts_with, wait())', 'dependency: (lock(), requires, thread)', 'dependency: (wait(), relies_on, thread)']",[]
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","['dependency: (lock(), prerequisite_for_execution, unlock())']","[""('method', 'dependency', 'method'): (lock(), prerequisite_for_execution, unlock())""]"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.","['modification: (unlock(), changes_state_of, lock)']",[]
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","['exception: (wait(), call, notify())']",[]
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"['containment: (synchronizedcounter, contains_method, inc)', 'containment: (synchronizedcounter, contains_method, count)', 'dependency: (inc, depends_on_synchronized_block, count)']","[""('method', 'dependency', 'method'): (inc, depends_on_synchronized_block, count)""]"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","['containment: (java.util.concurrent.atomic.atomicboolean, is contained within, java.util.concurrent.atomic.atomicstampedreference)']","[""('class', 'containment', 'class'): (java.util.concurrent.atomic.atomicboolean, is contained within, java.util.concurrent.atomic.atomicstampedreference)""]"
Here is how the lockRead() and unlockRead() methods looks after that change:,"['modification: (lockread(), change_of_behavior, unlockread())']","[""('method', 'modification', 'method'): (lockread(), change_of_behavior, unlockread())""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"['modification: (lockwrite(), change_applies_to, unlockwrite())']","[""('method', 'modification', 'method'): (lockwrite(), change_applies_to, unlockwrite())""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.","['containment: (java.util.concurrent, contains_reference_to, java.util.concurrent.semaphore)', 'containment: (java.util.concurrent.semaphore, mentioned_in, java.util.concurrent.tutorial)']",[]
The take() method sends a signal which is stored internally in the Semaphore.,"['dependency: (take(), sends a signal to, semaphore)']",[]
"That way the signal is not missed, even if doNotify() is called before doWait().","['dependency: (donotify(), prerequisite, dowait())']","[""('method', 'dependency', 'method'): (donotify(), prerequisite, dowait())""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","['dependency: (synchronizer, requires, lock())']","[""('class', 'dependency', 'method'): (synchronizer, requires, lock())""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","['collaboration: (donotify(), interact_with, queueobject)']",[]
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","['containment: (synchronized(this), inside, lock())', 'dependency: (queueobject.dowait(), to avoid nested monitor lockout, synchronized(this))', 'collaboration: (queueobject.dowait(), call is placed outside, synchronized(this))', 'collaboration: (queueobject.dowait(), another thread can actually call, unlock())', 'dependency: (synchronized(this), when no thread is executing, unlock())']","[""('method', 'containment', 'method'): (synchronized(this), inside, lock())"", ""('method', 'dependency', 'method'): (queueobject.dowait(), to avoid nested monitor lockout, synchronized(this))"", ""('method', 'dependency', 'method'): (synchronized(this), when no thread is executing, unlock())""]"
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:","['inheritance: (poolthreadrunnable, implements, runnable)']",[]
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","['immutability: (immutablevalue, ensures, immutability)']",[]
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","['containment: (java.lang.object, defines, wait())', 'containment: (java.lang.object, defines, notify())', 'containment: (java.lang.object, defines, notifyall())', 'collaboration: (wait(), facilitate, notify())', 'collaboration: (wait(), facilitate, notifyall())', 'collaboration: (notify(), facilitate, notifyall())']",[]
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","['dependency: (wait(), prerequisite_for_execution, notify())']","[""('method', 'dependency', 'method'): (wait(), prerequisite_for_execution, notify())""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"['equivalence: (notify(), do not save method calls, notifyall())']","[""('method', 'equivalence', 'method'): (notify(), do not save method calls, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","['replacement: (donotify(), called notifyall() instead of, notify())', 'dependency: (notifyall(), awakened and checked for signals in turn, notify())']","[""('method', 'replacement', 'method'): (donotify(), called notifyall() instead of, notify())"", ""('method', 'dependency', 'method'): (notifyall(), awakened and checked for signals in turn, notify())""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",,[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","['comparison: (compareandset(), evaluates current value against expected value, atomicboolean)', 'modification: (compareandset(), sets new value if condition satisfied, atomicboolean)']","[""('method', 'modification', 'class'): (compareandset(), sets new value if condition satisfied, atomicboolean)""]"
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","['collaboration: (atomicinteger, provides, compareandset())']",[]
You can get the value of an AtomicInteger instance via the get() method.,"['return: (atomicinteger, value retrieval via, get())']",[]
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"['equivalence: (addandget(), atomic operation like all operations on, atomicintegerarray)']","[""('method', 'equivalence', 'class'): (addandget(), atomic operation like all operations on, atomicintegerarray)""]"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,,[]
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","['containment: (atomiclong, contains, compareandset)']",[]
You can set the value of an AtomicLong instance via the set() method.,"['modification: (atomiclong, set value via, set())']","[""('class', 'modification', 'method'): (atomiclong, set value via, set())""]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,,[]
You can get the value of a given element using the get() method on the AtomicLongArray.,"['dependency: (get(), using on, atomiclongarray)']",[]
You can set the value of a given element using the set() method on the AtomicLongArray.,"['modification: (atomiclongarray, set the value, set())']","[""('class', 'modification', 'method'): (atomiclongarray, set the value, set())""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","['comparison: (atomicreference, compare the reference to an expected value, compareandset)', 'containment: (atomicreference, set a new reference inside, atomicreference)']","[""('class', 'containment', 'class'): (atomicreference, set a new reference inside, atomicreference)""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,"['return: (get, returns, string)']","[""('method', 'return', 'class'): (get, returns, string)""]"
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","['comparison: (compareandset(), evaluates_reference_equality, atomicreference)', 'comparison: (compareandset(), evaluates_reference_equality, equals())', 'replacement: (compareandset(), updates_reference_conditionally, atomicreference)']","[""('method', 'comparison', 'method'): (compareandset(), evaluates_reference_equality, equals())"", ""('method', 'replacement', 'class'): (compareandset(), updates_reference_conditionally, atomicreference)""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"['dependency: (atomicstampedreference, requires, getreference())', 'return: (getreference(), provides, atomicstampedreference)']","[""('class', 'dependency', 'method'): (atomicstampedreference, requires, getreference())"", ""('method', 'return', 'class'): (getreference(), provides, atomicstampedreference)""]"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"['containment: (atomicstampedreference, contains, getstamp())']",[]
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","['comparison: (compareandset, compare the reference with expected reference and stamp, atomicstampedreference)', 'comparison: (compareandset, compare with an expected reference and stamp, equals)']","[""('method', 'comparison', 'method'): (compareandset, compare with an expected reference and stamp, equals)""]"
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.","['creation: (blockingdeque, represents a deque which is thread safe, java.util.concurrent)']",[]
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","['inheritance: (concurrentmap, inherits methods from, java.util.map)']","[""('interface', 'inheritance', 'interface'): (concurrentmap, inherits methods from, java.util.map)""]"
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.","['dependency: (java.util.concurrent.concurrentnavigablemap, has concurrent access enabled for, its submaps)']",[]
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","['collaboration: (blockingqueueexample, starts, producer)', 'collaboration: (blockingqueueexample, starts, consumer)']","[""('class', 'collaboration', 'class'): (blockingqueueexample, starts, producer)"", ""('class', 'collaboration', 'class'): (blockingqueueexample, starts, consumer)""]"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"['dependency: (blockingqueue, has space for, add())']","[""('class', 'dependency', 'method'): (blockingqueue, has space for, add())""]"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","['dependency: (blockingqueue, does not have space internally, add())', 'exception: (add(), throws, illegalstateexception)']",[]
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"['comparison: (remove(), uses_equality_check_with, equals())', 'dependency: (remove(), depends_on, equals())', 'containment: (remove(), interacts_with, blockingqueue)', 'containment: (equals(), assists_in_comparison_within, blockingqueue)']","[""('method', 'comparison', 'method'): (remove(), uses_equality_check_with, equals())"", ""('method', 'dependency', 'method'): (remove(), depends_on, equals())"", ""('method', 'containment', 'class'): (remove(), interacts_with, blockingqueue)"", ""('method', 'containment', 'class'): (equals(), assists_in_comparison_within, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","['containment: (blockingqueue, does_not_contain, element())', 'exception: (element(), will_throw, nosuchelementexception)']",[]
The result of that is that the call() method will return a String.,"['return: (call(), return, string)']","[""('method', 'return', 'class'): (call(), return, string)""]"
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",,[]
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","['equivalence: (runnable, is_a, java.lang.runnable)']",[]
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",,[]
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,,[]
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"['comparison: (runnable.run(), main difference, callable.call())', 'return: (callable.call(), can return an object from the method call, runnable.run())']","[""('method', 'comparison', 'method'): (runnable.run(), main difference, callable.call())"", ""('method', 'return', 'method'): (callable.call(), can return an object from the method call, runnable.run())""]"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.","['dependency: (executorservice, blocks until terminated or timeout, awaittermination())']",[]
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"['dependency: (awaittermination, is typically called after, shutdown)', 'dependency: (awaittermination, is typically called after, shutdownnow)']",[]
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"['conversion: (reentrantlock, use as, lock)']",[]
To unlock the Lock instance you must call its unlock() method.,"['dependency: (lock, requires calling, unlock())']","[""('class', 'dependency', 'method'): (lock, requires calling, unlock())""]"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.","['comparison: (lock, looks different from using, counter)']","[""('class', 'comparison', 'class'): (lock, looks different from using, counter)""]"
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.","['containment: (lock, used by, calculator)']","[""('class', 'containment', 'class'): (lock, used by, calculator)""]"
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.","['dependency: (lock, prerequisite for blocking, lock())']","[""('class', 'dependency', 'method'): (lock, prerequisite for blocking, lock())""]"
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"['return: (reentrantlock, returns the number of times a given thread has locked, getholdcount())']",[]
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.","['creation: (certpath, represents formation of, java.security.cert.certpath)', 'containment: (certpath, includes, chain of cryptographic identity certificates)']",[]
The CertPath getType() method returns a string telling what type of certificates (e.g.,"['return: (certpath, gettype, gettype())']",[]
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"['modification: (update(), takes an offset parameter, dofinal())']","[""('method', 'modification', 'method'): (update(), takes an offset parameter, dofinal())""]"
Notice the call to update() and then doFinal() for these two blocks of data.,"['dependency: (update(), prerequisite_for, dofinal())']","[""('method', 'dependency', 'method'): (update(), prerequisite_for, dofinal())""]"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"['containment: (java.security, includes, keypairgenerator)']",[]
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"['creation: (keygenerator, create, getinstance())']","[""('class', 'creation', 'method'): (keygenerator, create, getinstance())""]"
Initializing a KeyGenerator instance is done by calling its init() method.,"['dependency: (keygenerator, is initialized by, init())']","[""('class', 'dependency', 'method'): (keygenerator, is initialized by, init())""]"
Generating a key is done by calling the KeyGenerator generateKey() method.,"['creation: (keygenerator, generates, generatekey())']","[""('class', 'creation', 'method'): (keygenerator, generates, generatekey())""]"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"['containment: (keypair, access, publickey)', 'dependency: (publickey, by calling, getpublic())', 'return: (getpublic(), method, keypair)']","[""('method', 'return', 'class'): (getpublic(), method, keypair)""]"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"['containment: (keypair, access privatekey, privatekey)', 'dependency: (privatekey, access by calling getprivate(), getprivate())']","[""('class', 'containment', 'class'): (keypair, access privatekey, privatekey)"", ""('class', 'dependency', 'method'): (privatekey, access by calling getprivate(), getprivate())""]"
You can create a Java KeyStore instance by calling its getInstance() method.,"['creation: (java keystore, instance creation using, getinstance())']","[""('class', 'creation', 'method'): (java keystore, instance creation using, getinstance())""]"
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"['replacement: (keytool, will_remove_entry_from, keystore)']","[""('class', 'replacement', 'class'): (keytool, will_remove_entry_from, keystore)""]"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","['dependency: (update(), prerequisite_for, sign())']","[""('method', 'dependency', 'method'): (update(), prerequisite_for, sign())""]"
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","['equivalence: (java.sql.date, read and write the date and time, java.sql.timestamp)']","[""('class', 'equivalence', 'class'): (java.sql.date, read and write the date and time, java.sql.timestamp)""]"
Here is an example of how to create a Duration object using the between() method:,"['creation: (duration, create, between())']","[""('class', 'creation', 'method'): (duration, create, between())""]"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"['creation: (localdatetime, creation_via_now_method, now())']","[""('class', 'creation', 'method'): (localdatetime, creation_via_now_method, now())""]"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,,[]
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"['creation: (of(), create, zoneid)']","[""('method', 'creation', 'class'): (of(), create, zoneid)""]"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","['collaboration: (java.sql.preparedstatement, interact with, java.sql.date)', 'collaboration: (java.sql.resultset, interact with, java.sql.date)']","[""('class', 'collaboration', 'class'): (java.sql.preparedstatement, interact with, java.sql.date)"", ""('class', 'collaboration', 'class'): (java.sql.resultset, interact with, java.sql.date)""]"
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"['comparison: (java.sql.timestamp, difference in ability to hold nanoseconds, java.util.date)', 'inheritance: (java.sql.timestamp, superclass relationship, java.util.date)']","[""('class', 'comparison', 'class'): (java.sql.timestamp, difference in ability to hold nanoseconds, java.util.date)""]"
You can get and set the nanoseconds using the getNanos() and setNanos().,"['collaboration: (getnanos(), interacting_with, setnanos())', 'replacement: (setnanos(), updating, getnanos())']","[""('method', 'replacement', 'method'): (setnanos(), updating, getnanos())""]"
The Calendar class has a corresponding set() method so you can set these fields too.,"['modification: (calendar, has corresponding method, set())', 'modification: (calendar, set fields, fields)', 'dependency: (set(), set these, fields)']","[""('class', 'modification', 'method'): (calendar, has corresponding method, set())""]"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","['containment: (java.util.date, access the date and time contained, gettime())']",[]
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"['comparison: (java.util.date, implements the, java.lang.comparable)']","[""('class', 'comparison', 'interface'): (java.util.date, implements the, java.lang.comparable)""]"
