The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, modifies, reverse())', 'containment: (collections, includes, list)', 'implementation: (reverse(), works on, list)']","[""('class', 'containment', 'class'): (collections, includes, list)""]"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.",,[]
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,[],[]
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.","['accessibility: (pollfirstentry(), returns and removes the ""first"" entry in, navigablemap)']",[]
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","['implementation: (descendingiterator, iterate the elements of, navigableset)', 'accessibility: (descendingiterator, iterate the elements of, sortedset)', 'containment: (navigableset, is also, sortedset)']",[]
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","['accessibility: (properties, use the getproperty() method, getproperty())']","[""('class', 'accessibility', 'method'): (properties, use the getproperty() method, getproperty())""]"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","['containment: (inputstream, load_into, java properties)', 'containment: (inputstream, load_into, java properties using loadfromxml)']","[""('class', 'containment', 'class'): (inputstream, load_into, java properties)""]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"['comparison: (poll(), taking an element from a java queue using, remove())']","[""('method', 'comparison', 'method'): (poll(), taking an element from a java queue using, remove())""]"
You can check if a Java Queue contains a certain element via its contains() method.,"['containment: (queue, contains, contains())']",[]
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"['implementation: (set, implements method, removeall())', 'containment: (removeall(), operates on, collection)']",[]
You can check the size of a Java Set using the size() method.,"['accessibility: (set, check the size using, size())']","[""('class', 'accessibility', 'method'): (set, check the size using, size())""]"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:","['accessibility: (sortedmap, key iteration through, keyset())']","[""('class', 'accessibility', 'method'): (sortedmap, key iteration through, keyset())""]"
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"['containment: (sortedmap, contains, headmap())']",[]
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,,[]
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"['implementation: (java.util.treeset, implementation of, java sortedset)', 'containment: (java collections, has, java.util.treeset)', 'containment: (java collections, has, java sortedset)']","[""('class', 'implementation', 'interface'): (java.util.treeset, implementation of, java sortedset)"", ""('package', 'containment', 'class'): (java collections, has, java.util.treeset)""]"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","['replacement: (enumeration, superseded, iterator)']",[]
You push elements onto a Java Stack using its push() method.,"['implementation: (stack, push, push())']","[""('class', 'implementation', 'method'): (stack, push, push())""]"
Here is an example of obtaining the size of a Java Stack via its size() method:,,[]
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"['implementation: (readwritelock, has example of method, lockwrite())']","[""('class', 'implementation', 'method'): (readwritelock, has example of method, lockwrite())""]"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"['containment: (boundedsemaphore, has method, take())', 'containment: (boundedsemaphore, has method, release())']",[]
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"['implementation: (lock(), implement using, atomicboolean)']",[]
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","['comparison: (stop(), compared_to, pause())', 'implementation: (runnable, created_with, java lambda expression)']","[""('method', 'comparison', 'method'): (stop(), compared_to, pause())""]"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","['dependancy: (addchild, calls, setparent)']",[]
"Here are the two classes used in the example above, Counter and CounterThread.","['containment: (counter, used in the example above, counterthread)']","[""('class', 'containment', 'class'): (counter, used in the example above, counterthread)""]"
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.","['creation: (threadlocal, create a subclass, threadlocal)']",[]
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:","['implementation: (threadlocal, creating using withinitial, withinitial())', 'dependency: (threadlocal, passing as parameter, supplier)']","[""('class', 'implementation', 'method'): (threadlocal, creating using withinitial, withinitial())"", ""('class', 'dependency', 'interface'): (threadlocal, passing as parameter, supplier)""]"
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"['dependency: (format(), calls method, getthreadlocalsimpledateformat)', 'containment: (getthreadlocalsimpledateformat, obtain instance, simpledateformat)']",[]
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:","['replacement: (counter, using a lock instead of, synchronized)']","[""('class', 'replacement', 'method'): (counter, using a lock instead of, synchronized)""]"
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.","['dependency: (lock(), parked waiting, wait())']","[""('method', 'dependency', 'method'): (lock(), parked waiting, wait())""]"
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().","['dependency: (lock(), usage, unlock())']","[""('method', 'dependency', 'method'): (lock(), usage, unlock())""]"
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",,[]
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","['preference: (wait(), not call, notify())']","[""('method', 'preference', 'method'): (wait(), not call, notify())""]"
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"['containment: (synchronizedcounter, contains, inc())', 'containment: (synchronizedcounter, contains, count())', 'collaboration: (inc(), interact_with, count())']",[]
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.","['containment: (java.util.concurrent, contains, java.util.concurrent.atomic)']",[]
Here is how the lockRead() and unlockRead() methods looks after that change:,"['modification: (lockread(), change, unlockread())']","[""('method', 'modification', 'method'): (lockread(), change, unlockread())""]"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"['modification: (lockwrite(), changes made, unlockwrite())']","[""('method', 'modification', 'method'): (lockwrite(), changes made, unlockwrite())""]"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.","['containment: (java.util.concurrent.semaphore, included in, java.util.concurrent)']",[]
The take() method sends a signal which is stored internally in the Semaphore.,"['causality: (take(), sends a signal, semaphore)', 'containment: (take(), is stored internally in, semaphore)']","[""('method', 'containment', 'class'): (take(), is stored internally in, semaphore)""]"
"That way the signal is not missed, even if doNotify() is called before doWait().","['dependency: (donotify(), called_before, dowait())']","[""('method', 'dependency', 'method'): (donotify(), called_before, dowait())""]"
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.","['dependency: (synchronizer, access the, lock())', 'implementation: (lock, calls, lock())']","[""('class', 'implementation', 'method'): (lock, calls, lock())""]"
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","['causality: (unlock(), call donotify on, donotify())']",[]
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.","['dependency: (queueobject, dowait() call is placed outside, synchronized)', 'accessibility: (queueobject, another thread can actually call, unlock())', 'dependency: (queueobject, executing inside the synchronized(this) block in, lock())']",[]
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:","['implementation: (poolthreadrunnable, implements, runnable)']","[""('class', 'implementation', 'interface'): (poolthreadrunnable, implements, runnable)""]"
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.","['creation: (add(), returns, immutablevalue)', 'containment: (immutablevalue, instance with, add())']","[""('method', 'creation', 'class'): (add(), returns, immutablevalue)""]"
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.","['containment: (java.lang.object, define, wait())', 'containment: (java.lang.object, define, notify())', 'containment: (java.lang.object, define, notifyall())']",[]
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.","['dependency: (wait(), synchronization requirement, notify())']","[""('method', 'dependency', 'method'): (wait(), synchronization requirement, notify())""]"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"['dependency: (notify(), method calls to them, notifyall())']","[""('method', 'dependency', 'method'): (notify(), method calls to them, notifyall())""]"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.","['replacement: (donotify(), called instead of, notifyall())', 'replacement: (donotify(), called instead of, notify())']","[""('method', 'replacement', 'method'): (donotify(), called instead of, notifyall())"", ""('method', 'replacement', 'method'): (donotify(), called instead of, notify())""]"
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",,[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.","['comparison: (compareandset, compare to current value, atomicboolean)']",[]
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","['containment: (atomicinteger, contains, compareandset())']",[]
You can get the value of an AtomicInteger instance via the get() method.,"['accessibility: (atomicinteger, get(), get())', 'containment: (atomicinteger, instance, get())']","[""('class', 'accessibility', 'method'): (atomicinteger, get(), get())""]"
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"['comparison: (addandget(), is an atomic operation like, atomicintegerarray)']",[]
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,,[]
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().","['containment: (atomiclong, contains, compareandset)']",[]
You can set the value of an AtomicLong instance via the set() method.,"['modification: (atomiclong, set, set())']",[]
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,,[]
You can get the value of a given element using the get() method on the AtomicLongArray.,"['implementation: (get(), uses, atomiclongarray)']",[]
You can set the value of a given element using the set() method on the AtomicLongArray.,"['implementation: (atomiclongarray, using the set() method, set())']","[""('class', 'implementation', 'method'): (atomiclongarray, using the set() method, set())""]"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","['implementation: (atomicreference, has an advanced, compareandset())', 'accessibility: (compareandset(), lets you, compare)']","[""('class', 'implementation', 'method'): (atomicreference, has an advanced, compareandset())""]"
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,,[]
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.","['comparison: (compareandset(), compares reference, atomicreference)', 'replacement: (compareandset(), set new reference, atomicreference)']","[""('method', 'replacement', 'class'): (compareandset(), set new reference, atomicreference)""]"
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"['containment: (atomicstampedreference, includes, getreference())']",[]
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"['containment: (atomicstampedreference, contains, getstamp())']",[]
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.","['comparison: (compareandset, evaluate with, atomicstampedreference)']",[]
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.","['containment: (blockingdeque, is in, java.util.concurrent)']",[]
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.","['containment: (concurrentmap, inherits methods from its superinterface, java.util.map)']",[]
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.","['containment: (java.util.concurrent.concurrentnavigablemap, support for concurrent access, java.util.navigablemap)', 'containment: (java.util.concurrent.concurrentnavigablemap, support for concurrent access, java.util.concurrent)']",[]
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.","['implementation: (blockingqueueexample, starts, producer)', 'implementation: (blockingqueueexample, starts, consumer)', 'collaboration: (producer, works in separate threads with, consumer)']","[""('class', 'collaboration', 'class'): (producer, works in separate threads with, consumer)""]"
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"['containment: (blockingqueue, has space for, add())']",[]
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.","['causality: (blockingqueue, does not have space internally for this new element, add())', 'causality: (add(), throws, illegalstateexception)']",[]
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"['implementation: (remove(), use, equals())', 'containment: (remove(), element in, blockingqueue)', 'containment: (equals(), element in, blockingqueue)']","[""('method', 'containment', 'class'): (remove(), element in, blockingqueue)"", ""('method', 'containment', 'class'): (equals(), element in, blockingqueue)""]"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.","['containment: (blockingqueue, contain, element())', 'dependency: (element(), require, blockingqueue)', 'causality: (nosuchelementexception, throw, element())']",[]
The result of that is that the call() method will return a String.,,[]
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.","['implementation: (executorservice, represents an asynchronous execution mechanism, java.util.concurrent.executorservice)', 'containment: (executorservice, is a part of, java.util.concurrent.executorservice)']","[""('interface', 'implementation', 'interface'): (executorservice, represents an asynchronous execution mechanism, java.util.concurrent.executorservice)""]"
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.","['containment: (executorservice, takes, execute(runnable))', 'containment: (execute(runnable), takes, java.lang.runnable)', 'implementation: (executorservice, executes, java.lang.runnable)']","[""('interface', 'implementation', 'interface'): (executorservice, executes, java.lang.runnable)""]"
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",,[]
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,,[]
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,,[]
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",,[]
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,,[]
In the following sections I will explain how to use the ReentrantLock class as a Lock.,,[]
To unlock the Lock instance you must call its unlock() method.,,[]
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.",,[]
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.",,[]
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.",,[]
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,,[]
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",,[]
The CertPath getType() method returns a string telling what type of certificates (e.g.,,[]
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,,[]
Notice the call to update() and then doFinal() for these two blocks of data.,,[]
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,,[]
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,,[]
Initializing a KeyGenerator instance is done by calling its init() method.,,[]
Generating a key is done by calling the KeyGenerator generateKey() method.,,[]
You can access the PublicKey of a KeyPair by calling its getPublic() method.,,[]
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,,[]
You can create a Java KeyStore instance by calling its getInstance() method.,,[]
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,,[]
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",,[]
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.",,[]
Here is an example of how to create a Duration object using the between() method:,,[]
Here is an example that shows how to create a LocalDateTime object via the now() method:,,[]
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,,[]
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,,[]
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",,[]
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,,[]
You can get and set the nanoseconds using the getNanos() and setNanos().,,[]
The Calendar class has a corresponding set() method so you can set these fields too.,,[]
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:",,[]
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,,[]
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,,[]
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,,[]
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,,[]
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",,[]
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",,[]
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,,[]
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,,[]
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,,[]
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",,[]
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,,[]
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,,[]
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,,[]
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,,[]
The Date instance passed to the format() method is a java.util.Date instance.,,[]
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.",,[]
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,,[]
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,,[]
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.",,[]
"After that, the while loop exits, and the BufferedInputStream close() method is called.",,[]
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",,[]
To write data to a Java BufferedOutputStream you can use its write() method.,,[]
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,,[]
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",,[]
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.",,[]
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.",,[]
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,,[]
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,,[]
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,,[]
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:",,[]
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",,[]
You can read a Java float from the DataInputStream using its readFloat() method.,,[]
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,,[]
You can read a Java long from the DataInputStream using its readLong() method.,,[]
"To rename (or move) a file, call the method renameTo() on the File class.",,[]
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,,[]
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,,[]
To write data to a Java FileOutputStream you can use its write() method.,,[]
Here is an example of writing data to a Java FileOutputStream using its write() method:,,[]
Here is an example of closing a Java FileOutputStream by calling its close() method:,,[]
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,,[]
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,,[]
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,,[]
Notice how there is no longer any explicit close() method call to the FileWriter instance.,,[]
The Java InputStream class contains a method called readAllBytes() (since Java 9).,,[]
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,,[]
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.",,[]
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,,[]
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,,[]
"Like with FilterInputStream, I see no sensible purpose for this class.",,[]
They make it somewhat easier to understand what the classes are targeting.,,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,,[]
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.",,[]
Closing a Java StringReader can be done using the close() method like this:,,[]
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,,[]
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,,[]
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",,[]
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .",,[]
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",,[]
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,,[]
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,,[]
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).",,[]
You will normally use a Writer subclass rather than a Writer directly.,,[]
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,,[]
"By the way, imagine that the used Person class looks like this:",,[]
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,,[]
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,,[]
Before the first next() call the ResultSet is positioned before the first row.,,[]
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.",,[]
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",,[]
The purpose of an abstract class is to function as a base for subclasses.,,[]
"If a class has an abstract method, the whole class must be declared abstract.",,[]
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,,[]
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,,[]
The utility class is called Arrays and is located in the standard Java package java.util.,,[]
The purpose of a constructor is to initialize the fields in the class.,,[]
Now the isValid() method returns the value returned by the value.equals() method call.,,[]
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,,[]
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.",,[]
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,,[]
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.",,[]
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.",,[]
Here is a Java instanceof example illustrating the comparison of null against a class:,,[]
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.",,[]
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",,[]
The class does not need to implement (declare) the variables of an interface.,,[]
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",,[]
